#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aderbissinat,NE001001,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Arlit,NE001002,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Bilma,NE001003,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Iferouane,NE001004,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Ingall,NE001005,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Tchirozerine,NE001006,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Bosso,NE002001,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Diffa,NE002002,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Goudoumaria,NE002003,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Maine-Soroa,NE002004,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
N'Gourti,NE002005,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
N'Guigmi,NE002006,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Boboye,NE003001,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Dioundiou,NE003002,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Dogondoutchi,NE003003,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Dosso,NE003004,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Falmey,NE003005,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Gaya,NE003006,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Loga,NE003007,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Tibiri (Doutchi),NE003008,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
Aguie,NE004001,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Bermo,NE004002,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Dakoro,NE004003,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Gazaoua,NE004004,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Guidan-Roumdji,NE004005,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Madarounfa,NE004006,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Ville De Maradi,NE004007,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Mayahi,NE004008,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Tessaoua,NE004009,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
Abalak,NE005001,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Bagaroua,NE005002,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Birni N'Konni,NE005003,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Bouza,NE005004,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Illela,NE005005,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Keita,NE005006,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Madaoua,NE005007,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Malbaza,NE005008,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Tahoua,NE005009,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Tassara,NE005010,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Tchintabaraden,NE005011,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Tillia,NE005012,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Ville De Tahoua,NE005013,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
Abala,NE006001,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Ayerou,NE006002,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Balleyara,NE006003,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Banibangou,NE006004,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Bankilare,NE006005,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Filingue,NE006006,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Gotheye,NE006007,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Kollo,NE006008,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Ouallam,NE006009,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Say,NE006010,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Tera,NE006011,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Tillaberi,NE006012,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Torodi,NE006013,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
Belbedji,NE007001,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Damagaram Takaya,NE007002,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Dungass,NE007003,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Goure,NE007004,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Kantche,NE007005,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Magaria,NE007006,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Mirriah,NE007007,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Takeita,NE007008,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Tanout,NE007009,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Tesker,NE007010,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Ville De Zinder,NE007011,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
Ville De Niamey,NE008001,,,,Niamey,NE008,Niger,NE,2006-01-01,2021-09-29,
