#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bri-lahiribari,BD50763331,,,,Faridpur,BD507633,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Budbari Bazar,BD60913820,,,,Golabganj,BD609138,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Budhal,BD20121394,,,,Brahmanbaria Sadar,BD201213,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Budhanti,BD20120728,,,,Bijoynagar,BD201207,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Budhhata,BD40870434,,,,Assasuni,BD408704,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Bukabunia,BD10041947,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Bulakipur,BD55274319,,,,Ghoraghat,BD552743,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Bulla,BD60366827,,,,Lakhai,BD603668,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Bulla,BD60367134,,,,Madhabpur,BD603671,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Bulta,BD30676825,,,,Rupganj,BD306768,Narayanganj,BD3067,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Bunagati,BD40558523,,,,Shalikha,BD405585,Magura,BD4055,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Bura Mazumdar,BD10044735,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Buraburi,BD55499422,,,,Ulipur,BD554994,Kurigram,BD5549,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Buraburi,BD55779054,,,,Tentulia,BD557790,Panchagarh,BD5577,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Buraich,BD30290331,,,,Alfadanga,BD302903,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Burail,BD50106731,,,,Nandigram,BD501067,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Buri Goalini,BD40878623,,,,Shyamnagar,BD408786,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Burichang,BD20191831,,,,Burichang,BD201918,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Buriganj,BD50109423,,,,Shibganj,BD501094,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Burighat,BD20847519,,,,Naniarchar,BD208475,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Burimari,BD55527015,,,,Patgram,BD555270,Lalmonirhat,BD5552,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Buripota,BD40578738,,,,Meherpur Sadar,BD405787,Meherpur,BD4057,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Burir Char,BD10042838,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Burir Char,BD20153710,,,,Hathazari,BD201537,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Burir Char,BD20753615,,,,Hatiya,BD207536,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Burirdanga,BD40015827,,,,Mongla,BD400158,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Burishwar,BD20129014,,,,Nasirnagar,BD201290,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Burumchhara,BD20150447,,,,Anowara,BD201504,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Burunga,BD60910820,,,,Balaganj,BD609108,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Chaitrakul,BD55857635,,,,Pirganj,BD558576,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chak Barkat,BD50384732,,,,Joypurhat Sadar,BD503847,Joypurhat,BD5038,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chak Kirti,BD50708811,,,,Shibganj,BD507088,Nawabganj,BD5070,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chak Mirpur,BD30561028,,,,Daulatpur,BD305610,Manikganj,BD3056,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chak Radha,BD30687631,,,,Shibpur,BD306876,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chakamaiya,BD10786611,,,,Kala Para,BD107866,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chakaria Paurashava,BD20221699,,,,Chakaria,BD202216,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chakhar,BD10061042,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chakirpashar,BD55497721,,,,Rajarhat,BD554977,Kurigram,BD5549,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chakla,BD50761615,,,,Bera,BD507616,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chaklarhat,BD55777323,,,,Panchagarh Sadar,BD557773,Panchagarh,BD5577,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chakmarkul,BD20226613,,,,Ramu,BD202266,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chakua,BD45723813,,,,Khaliajuri,BD457238,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Chala,BD30562836,,,,Harirampur,BD305628,Manikganj,BD3056,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chalak Char,BD30685227,,,,Manohardi,BD306852,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chalbala,BD55523923,,,,Kaliganj,BD555239,Lalmonirhat,BD5552,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chalibhanga,BD20197521,,,,Meghna,BD201975,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chalishia,BD40410452,,,,Abhaynagar,BD404104,Jessore,BD4041,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chalitabunia,BD10785732,,,,Galachipa,BD107857,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chalitadanga,BD50885017,,,,Kazipur,BD508850,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Challisha,BD45727415,,,,Netrokona Sadar,BD457274,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Chalna Paurashava,BD40471799,,,,Dacope,BD404717,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chaluabari,BD50108119,,,,Sariakandi,BD501081,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chaluahati,BD40416111,,,,Manirampur,BD404161,Jessore,BD4041,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chamardani,BD60903223,,,,Dharampasha,BD609032,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Chamari,BD50699112,,,,Singra,BD506991,Natore,BD5069,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chambal,BD20150818,,,,Banshkhali,BD201508,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Champaknagar,BD20120743,,,,Bijoynagar,BD201207,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Champaphul,BD40874723,,,,Kaliganj,BD408747,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Champapur,BD50100627,,,,Adamdighi,BD501006,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chamrul,BD50103313,,,,Dhupchanchia,BD501033,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chamta,BD30866525,,,,Naria,BD308665,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chanchari,BD40652831,,,,Kalia,BD406528,Narail,BD4065,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chanchra,BD10099138,,,,Tazumuddin,BD100991,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chanchra,BD40414723,,,,Kotwali,BD404147,Jessore,BD4041,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandaikona,BD50886119,,,,Royganj,BD508861,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandan Baisha,BD50108125,,,,Sariakandi,BD501081,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandan Nagar,BD50646931,,,,Niamatpur,BD506469,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanaish Paurashava,BD20151899,,,,Chandanaish,BD201518,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanbari,BD30685233,,,,Manohardi,BD306852,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanbari,BD55772529,,,,Boda,BD557725,Panchagarh,BD5577,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chandani,BD30827632,,,,Rajbari Sadar,BD308276,Rajbari,BD3082,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanpat,BD55854917,,,,Rangpur Sadar,BD558549,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanpur,BD20197519,,,,Meghna,BD201975,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandanpur,BD40874313,,,,Kalaroa,BD408743,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandas,BD50645019,,,,Mahadebpur,BD506450,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandba,BD50760515,,,,Atgharia,BD507605,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chander Char,BD20195428,,,,Homna,BD201954,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chanderkandi,BD30686423,,,,Roypura,BD306864,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandgaon,BD45725631,,,,Madan,BD457256,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Chandgram,BD40501540,,,,Bheramara,BD405015,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandhar,BD30568225,,,,Singair,BD305682,Manikganj,BD3056,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandi,BD50691523,,,,Baraigram,BD506915,Natore,BD5069,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandi Pasha,BD30487919,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandibarpur,BD40657633,,,,Narail Sadar,BD406576,Narail,BD4065,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandigarh,BD45721825,,,,Durgapur,BD457218,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
