#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_por+is_latn,#adm1+name+alt2+i_por+is_latn,#country+name+i_por+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Príncipe,ST01,,,,São Tomé e Príncipe,ST,2020-08-17,2020-08-17,
São Tomé,ST02,,,,São Tomé e Príncipe,ST,2020-08-17,2020-08-17,
