#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Mano-Sewallu,SL01010807,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Mende Buima,SL01010808,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Mofindor,SL01010809,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Kpombali,SL01010810,,,Luawa,SL010108,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bamburu,SL01010901,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Sami,SL01010902,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Njagbla,SL01010903,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Pelegbambeima,SL01010904,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Sami,SL01010905,,,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbongre,SL01011001,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Levuma Jeigbla,SL01011002,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Kuiva,SL01011003,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Kuiva,SL01011004,,,Mandu,SL010110,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bombowa,SL01011101,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dan Sei,SL01011102,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Falley,SL01011103,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fauya,SL01011104,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gboo,SL01011105,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Jonga,SL01011106,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kargbu,SL01011107,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Keimaya,SL01011108,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Nyawa,SL01011109,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sei I,SL01011110,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sei II,SL01011111,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Nyawa,SL01011112,,,Njaluahun,SL010111,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bulima,SL01011201,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Jagor,SL01011202,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kumatandu,SL01011203,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lombama,SL01011204,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Nimima,SL01011205,,,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bambara,SL01011301,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bomaru-guma,SL01011302,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Goleiwoma,SL01011303,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Golu,SL01011304,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Korbu,SL01011305,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Naiahun,SL01011306,,,Upper Bambara,SL010113,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bendu,SL01011401,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kuiva Buima,SL01011402,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kuiva Jagor,SL01011403,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kuivawa,SL01011404,,,Yawei,SL010114,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dakowa,SL01020101,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Danyadejo,SL01020102,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dassama,SL01020103,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fowai,SL01020104,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Klajie,SL01020105,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Dabor,SL01020106,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Dabor,SL01020107,,,Dama,SL010201,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bambara,SL01020201,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bonya,SL01020202,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bundoryama,SL01020203,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gorama,SL01020204,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Karteh,SL01020205,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Korgay,SL01020206,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Seiwor,SL01020207,,,Dodo,SL010202,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Giebu,SL01020301,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Joru,SL01020302,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kokoru,SL01020303,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Mendekelema,SL01020304,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sandaru,SL01020305,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sembehun,SL01020306,,,Gaura,SL010203,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Biatong,SL01020401,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Famanjo,SL01020402,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kaklawa,SL01020403,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kualley,SL01020404,,,Gorama Mende,SL010204,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Borley,SL01020501,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gboro-Lokoma,SL01020502,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Karga,SL01020503,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sonnie,SL01020504,,,Kandu Leppiama,SL010205,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Joi,SL01020601,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Koya Gbundohun,SL01020602,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Menima,SL01020603,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
