#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Cairo,القاهرة,EG01,Cairo,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Alexandria,الاسكندرية,EG02,Alexandria,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Port Said,بورسعيد,EG03,Port Said,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Suez,السويس,EG04,Suez,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Damietta,دمياط,EG11,Damietta,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Dakahlia,الدقهلية,EG12,Dakahlia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Sharkia,الشرقية,EG13,Sharkia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Kalyoubia,القليوبية,EG14,Kalyoubia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Kafr El-Shikh,كفر الشيخ,EG15,Kafr El-Shikh,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Gharbia,الغربية,EG16,Gharbia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Menoufia,المنوفية,EG17,Menoufia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Behera,البحيرة,EG18,Behera,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Ismailia,الإسماعيلية,EG19,Ismailia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Giza,الجيزة,EG21,Giza,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Beni Suef,بنى سويف,EG22,Beni Suef,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Fayoum,الفيوم,EG23,Fayoum,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Menia,المنيا,EG24,Menia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Assiut,أسيوط,EG25,Assiut,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Suhag,سوهاج,EG26,Suhag,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Qena,قنا,EG27,Qena,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Aswan,أسوان,EG28,Aswan,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Luxor,مدينة الأقصر,EG29,Luxor,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Red Sea,البحر الأحمر,EG31,Red Sea,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
New Valley,الوادى الجديد,EG32,New Valley,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Matrouh,مطروح,EG33,Matrouh,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
North Sinai,شمال سيناء,EG34,North Sinai,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
South Sinai,جنوب سيناء,EG35,South Sinai,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
