#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Centre,BF13,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Boucle du Mouhoun,BF46,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Cascades,BF47,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Centre-Est,BF48,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Centre-Nord,BF49,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Centre-Ouest,BF50,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Centre-Sud,BF51,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Est,BF52,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Hauts-Bassins,BF53,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Nord,BF54,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Plateau-Central,BF55,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Sahel,BF56,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
Sud-Ouest,BF57,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
