#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Asunafo North Municipal,GH0101,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Asunafo South,GH0102,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Asutifi North,GH0103,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Asutifi South,GH0104,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Tano North Municipal,GH0105,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Tano South Municipal,GH0106,,,,Ahafo,GH01,Ghana,GH,2021-03-10,2021-12-31,
Adansi Akrofuom,GH0201,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Adansi Asokwa,GH0202,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Adansi North,GH0203,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Adansi South,GH0204,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Afigya Kwabre North,GH0205,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Afigya Kwabre South,GH0206,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Ahafo Ano North,GH0207,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Ahafo Ano South East,GH0208,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Ahafo Ano South West,GH0209,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Amansie Central,GH0210,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Amansie South,GH0211,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Amansie West,GH0212,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Asante Akim Central Municipal,GH0213,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Asante Akim North,GH0214,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Asante Akim South,GH0215,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Asokore Mampong Municipal,GH0216,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Asokwa  Municipal,GH0217,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Atwima Kwanwoma,GH0218,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Atwima Mponua,GH0219,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Atwima Nwabiagya North,GH0220,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Atwima Nwabiagya South,GH0221,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
Bekwai Municipal,GH0222,,,,Ashanti,GH02,Ghana,GH,2021-03-10,2021-12-31,
