#adm2+name+i_eng+is_latn,#adm2+name+i_kaz+is_zyyy,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_kaz+is_zyyy,#adm2+name+alt2+i_kaz+is_zyyy,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_kaz+is_zyyy,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_kaz+is_zyyy,#country+name+i_rus+is_cyrl,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Esil,Есіл ,Есильский,KZ114800,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Zhaksy,Жақсы ,Жаксынский,KZ115200,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Zharkain,Жарқайың ,Жаркаинский,KZ115400,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Zerendi,Зеренді ,Зерендинский,KZ115600,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Korgalzhyn,Қорғалжын ,Коргалжынский,KZ116000,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Sandyktau,Сандықтау ,Сандыктауский,KZ116400,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Tselinograd,Целиноград ,Целиноградский,KZ116600,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Shortandy,Шортанды ,Шортандинский,KZ116800,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Burabay,Бурабай ,Бурабайский,KZ117000,,,,,,,,Akmola,Ақмола,Акмолинская ,KZ11,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Aktobe,Ақтөбе,Актобе,KZ151000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Alga,Алға ,Алгинский,KZ153200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Ayteke bi,Әйтеке би ,Айтекебийский,KZ153400,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Bayganin,Байғанин ,Байганинский,KZ153600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kargaly,Қарғалы ,Каргалинский,KZ154000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Khobda,Қобда ,Хобдинский,KZ154200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Martuk,Мәртөк ,Мартукский,KZ154600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Mugalzhar,Мұғалжар ,Мугалжарский,KZ154800,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Oiyl,Ойыл ,Уилский,KZ155200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Temir,Темір ,Темирский,KZ155600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Khromtau,Хромтау ,Хромтауский,KZ156000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Shalkar,Шалқар ,Шалкарский,KZ156400,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Yrgyz,Ырғыз ,Иргизский,KZ156800,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Taldykorgan,Талдықорған ,Талдыкорган,KZ191000,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kapchagay,Қапшағай ,Капчагай,KZ191600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
