#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kolofo'ou,TO1101,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Ma'ufanga,TO1102,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Nukumotu,TO1103,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Popua,TO1105,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Tukutonga,TO1106,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Pangaimotu,TO1107,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Fafaa,TO1108,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Onevai,TO1109,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
'Ataa,TO1110,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Kolomotu'a,TO1201,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Havelu,TO1202,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Tofoa,TO1203,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Hofoa,TO1204,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Puke,TO1205,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Sia'atoutai,TO1206,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Vaini,TO1301,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Malapo,TO1302,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Longoteme,TO1303,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Folaha,TO1304,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Nukuhetulu,TO1305,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Veitongo,TO1306,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Ha'ateiho,TO1307,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Pea,TO1308,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Tokomololo,TO1309,,,,Vaini,TO13,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Tatakamotonga,TO1401,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Holonga,TO1402,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Pelehake,TO1403,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Fua'amotu,TO1404,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Nakolo,TO1405,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Ha'asini,TO1406,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Lavengatonga,TO1407,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Haveluliku,TO1408,,,,Tatakamotonga,TO14,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
