#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Lago De Amatitlan,GT0100,Lago De Amatitlan,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Guatemala,GT0101,Guatemala,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Santa Catarina Pinula,GT0102,Santa Catarina Pinula,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San José Pinula,GT0103,San Jose Pinula,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San José del Golfo,GT0104,San Jose del Golfo,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Palencia,GT0105,Palencia,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Chinautla,GT0106,Chinautla,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San Pedro Ayampuc,GT0107,San Pedro Ayampuc,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Mixco,GT0108,Mixco,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San Pedro Sacatepéquez,GT0109,San Pedro Sacatepequez,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San Juan Sacatepéquez,GT0110,San Juan Sacatepequez,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
San Raimundo,GT0111,San Raimundo,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Chuarrancho,GT0112,Chuarrancho,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Fraijanes,GT0113,Fraijanes,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Amatitlán,GT0114,Amatitlan,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Villa Nueva,GT0115,Villa Nueva,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Villa Canales,GT0116,Villa Canales,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Petapa,GT0117,Petapa,,,Guatemala,GT01,Guatemala,GT,2018-09-25,2019-02-07,
Guastatoya,GT0201,Guastatoya,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
Morazán,GT0202,Morazan,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
San Agustín Acasaguastlán,GT0203,San Agustin Acasaguastlan,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
San Cristóbal Acasaguastlán,GT0204,San Cristobal Acasaguastlan,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
El Jícaro,GT0205,El Jicaro,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
Sanarate,GT0206,Sanarate,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
Sansare,GT0207,Sansare,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
San Antonio La Paz,GT0208,San Antonio La Paz,,,El Progreso,GT02,Guatemala,GT,2018-09-25,2019-02-07,
Antigua Guatemala,GT0301,Antigua Guatemala,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Jocotenango,GT0302,Jocotenango,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Pastores,GT0303,Pastores,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Sumpango,GT0304,Sumpango,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Santo Domingo Xenacoj,GT0305,Santo Domingo Xenacoj,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Santiago Sacatepéquez,GT0306,Santiago Sacatepequez,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
San Bartolomé Milpas Altas,GT0307,San Bartolome Milpas Altas,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
San Lucas Sacatepéquez,GT0308,San Lucas Sacatepequez,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Santa Lucía Milpas Altas,GT0309,Santa Lucia Milpas Altas,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Magdalena Milpas Altas,GT0310,Magdalena Milpas Altas,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Santa María de Jesús,GT0311,Santa Maria de Jesus,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Ciudad Vieja,GT0312,Ciudad Vieja,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
San Miguel Dueñas,GT0313,San Miguel Duenas,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Alotenango,GT0314,Alotenango,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
San Antonio Aguas Calientes,GT0315,San Antonio Aguas Calientes,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Santa Catarina Barahona,GT0316,Santa Catarina Barahona,,,Sacatepéquez,GT03,Guatemala,GT,2018-09-25,2019-02-07,
Chimaltenango,GT0401,Chimaltenango,,,Chimaltenango,GT04,Guatemala,GT,2018-09-25,2019-02-07,
San José Poaquil,GT0402,San Jose Poaquil,,,Chimaltenango,GT04,Guatemala,GT,2018-09-25,2019-02-07,
San Martín Jilotepeque,GT0403,San Martin Jilotepeque,,,Chimaltenango,GT04,Guatemala,GT,2018-09-25,2019-02-07,
Comalapa,GT0404,Comalapa,,,Chimaltenango,GT04,Guatemala,GT,2018-09-25,2019-02-07,
