#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Agago,UG306601,,,,Agago,UG3066,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amuria,UG202701,,,,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Apac Municipality,UG307101,,,,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aringa,UG309901,,,,Yumbe,UG3099,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arua Municipality,UG307201,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aruu,UG309701,,,,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aswa,UG307401,,,,Gulu,UG3074,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Ayivu,UG307202,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Bamunanika,UG101401,,,,Luwero,UG1014,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bbaale,UG101001,,,,Kayunga,UG1010,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bokora,UG309001,,,,Napak,UG3090,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Bubulo,UG205201,,,,Manafwa,UG2052,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bubulo,UG205601,,,,Namisindwa,UG2056,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budadiri,UG206101,,,,Sironko,UG2061,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budaka,UG202801,,,,Budaka,UG2028,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budiope,UG203801,,,,Buyende,UG2038,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bufumbira,UG412101,,,,Kisoro,UG4121,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugabula,UG204401,,,,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugahya,UG410601,,,,Hoima,UG4106,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugangaizi,UG411201,,,,Kakumiro,UG4112,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bughendera,UG410301,,,,Bundibugyo,UG4103,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugiri Municipality,UG203001,,,,Bugiri,UG2030,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
