#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Mongkol Borei,KH0102,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Phnum Srok,KH0103,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Preah Netr Preah,KH0104,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Ou Chrov,KH0105,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Serei Saophoan,KH0106,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Thma Puok,KH0107,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Svay Chek,KH0108,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Malai,KH0109,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Paoy Paet,KH0110,,,,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
Banan,KH0201,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Thma Koul,KH0202,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Battambang,KH0203,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Bavel,KH0204,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Aek Phnum,KH0205,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Moung Ruessei,KH0206,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Rotonak Mondol,KH0207,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Sangkae,KH0208,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Samlout,KH0209,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Sampov Lun,KH0210,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Phnum Proek,KH0211,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Kamrieng,KH0212,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Koas Krala,KH0213,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Rukh Kiri,KH0214,,,,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
Batheay,KH0301,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Chamkar Leu,KH0302,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Cheung Prey,KH0303,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Cham,KH0305,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Siem,KH0306,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Kang Meas,KH0307,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Kaoh Soutin,KH0308,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Prey Chhor,KH0313,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Srei Santhor,KH0314,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Stueng Trang,KH0315,,,,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
Baribour,KH0401,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Chol Kiri,KH0402,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Chhnang,KH0403,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Leaeng,KH0404,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Tralach,KH0405,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Rolea B'ier,KH0406,Rolea Bier,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Sameakki Mean Chey,KH0407,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Tuek Phos,KH0408,,,,Kampong Chhnang,KH04,Cambodia,KH,2014-10-14,2018-10-16,
Basedth,KH0501,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Chbar Mon,KH0502,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Kong Pisei,KH0503,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Aoral,KH0504,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Odongk,KH0505,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Phnum Sruoch,KH0506,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Samraong Tong,KH0507,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Thpong,KH0508,,,,Kampong Speu,KH05,Cambodia,KH,2014-10-14,2018-10-16,
Baray,KH0601,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Svay,KH0602,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Stueng Saen,KH0603,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Prasat Ballangk,KH0604,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Prasat Sambour,KH0605,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Sandan,KH0606,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Santuk,KH0607,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Stoung,KH0608,,,,Kampong Thom,KH06,Cambodia,KH,2014-10-14,2018-10-16,
Angkor Chey,KH0701,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Banteay Meas,KH0702,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Chhuk,KH0703,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Chum Kiri,KH0704,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Dang Tong,KH0705,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Kampong Trach,KH0706,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Tuek Chhou,KH0707,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Kampot,KH0708,,,,Kampot,KH07,Cambodia,KH,2014-10-14,2018-10-16,
Kandal Stueng,KH0801,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Kien Svay,KH0802,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Khsach Kandal,KH0803,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Kaoh Thum,KH0804,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Leuk Daek,KH0805,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Lvea Aem,KH0806,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Mukh Kampul,KH0807,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Angk Snuol,KH0808,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Ponhea Lueu,KH0809,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
S'ang,KH0810,Sang,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Ta Khmau,KH0811,,,,Kandal,KH08,Cambodia,KH,2014-10-14,2018-10-16,
Botum Sakor,KH0901,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Kiri Sakor,KH0902,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Kaoh Kong,KH0903,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Khemara Phoumin,KH0904,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Mondol Seima,KH0905,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Srae Ambel,KH0906,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Thma Bang,KH0907,,,,Koh Kong,KH09,Cambodia,KH,2014-10-14,2018-10-16,
Chhloung,KH1001,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Kracheh,KH1002,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Prek Prasab,KH1003,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Sambour,KH1004,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Snuol,KH1005,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Chetr Borei,KH1006,,,,Kratie,KH10,Cambodia,KH,2014-10-14,2018-10-16,
Kaev Seima,KH1101,,,,Mondul Kiri,KH11,Cambodia,KH,2014-10-14,2018-10-16,
Kaoh Nheaek,KH1102,,,,Mondul Kiri,KH11,Cambodia,KH,2014-10-14,2018-10-16,
Ou Reang,KH1103,,,,Mondul Kiri,KH11,Cambodia,KH,2014-10-14,2018-10-16,
Pech Chreada,KH1104,,,,Mondul Kiri,KH11,Cambodia,KH,2014-10-14,2018-10-16,
Saen Monourom,KH1105,,,,Mondul Kiri,KH11,Cambodia,KH,2014-10-14,2018-10-16,
Chamkar Mon,KH1201,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Doun Penh,KH1202,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Prampir Meakkakra,KH1203,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Tuol Kouk,KH1204,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Dangkao,KH1205,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Mean Chey,KH1206,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Russey Keo,KH1207,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Saensokh,KH1208,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Pur SenChey,KH1209,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Chraoy Chongvar,KH1210,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Praek Pnov,KH1211,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Chbar Ampov,KH1212,,,,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-16,
Chey Saen,KH1301,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Chhaeb,KH1302,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Choam Ksant,KH1303,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Kuleaen,KH1304,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Rovieng,KH1305,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Sangkum Thmei,KH1306,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
Tbaeng Mean Chey,KH1307,,,,Preah Vihear,KH13,Cambodia,KH,2014-10-14,2018-10-16,
