#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
001,ZA1011001,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
002,ZA1011002,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
003,ZA1011003,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
004,ZA1011004,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
005,ZA1011005,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
006,ZA1011006,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
007,ZA1011007,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
008,ZA1011008,,,,Matzikama,ZA1011,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
001,ZA1012001,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
002,ZA1012002,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
003,ZA1012003,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
004,ZA1012004,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
005,ZA1012005,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
006,ZA1012006,,,,Cederberg,ZA1012,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
001,ZA1013001,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
002,ZA1013002,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
003,ZA1013003,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
004,ZA1013004,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
005,ZA1013005,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
006,ZA1013006,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
007,ZA1013007,,,,Bergrivier,ZA1013,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
001,ZA1014001,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
002,ZA1014002,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
003,ZA1014003,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
004,ZA1014004,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
005,ZA1014005,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
006,ZA1014006,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
007,ZA1014007,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
008,ZA1014008,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
009,ZA1014009,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
010,ZA1014010,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
011,ZA1014011,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
012,ZA1014012,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
013,ZA1014013,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
014,ZA1014014,,,,Saldanha Bay,ZA1014,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
001,ZA1015001,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
002,ZA1015002,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
003,ZA1015003,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
004,ZA1015004,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
005,ZA1015005,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
006,ZA1015006,,,,Swartland,ZA1015,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
