#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Pabbi,PK21802,,,,Nowshera,PK218,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Peshawar,PK21901,,,,Peshawar,PK219,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Alpuri,PK22001,,,,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bisham,PK22002,,,,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Chiksar,PK22003,,,,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Martung,PK22004,,,,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Puran,PK22005,,,,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lahor,PK22101,,,,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Swabi,PK22102,,,,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Topi,PK22103,,,,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Babuzai,PK22201,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bahrain,PK22202,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Barikot,PK22203,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Charbagh,PK22204,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kabal,PK22205,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kalam,PK22206,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Khwazakhela,PK22207,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Matta Khararai,PK22208,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Matta Sebujni,PK22209,,,,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tank,PK22901,,,,Tank,PK229,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Barawal,PK23001,,,,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Dir,PK23002,,,,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kalkot,PK23003,,,,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Wari,PK23004,,,,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tor Ghar,PK23101,,,,Tor Ghar,PK231,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Barang,PK23201,,,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bar Chamarkand,PK23202,,,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Khar,PK23203,,,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mamund,PK23204,,,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Nawagai,PK23205,,,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Salarzai Tehsil,PK23206,,Salarzai,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Utman Khel Tehsil,PK23207,,Utman Khel,,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bara,PK23301,,,,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Jamrud,PK23302,,,,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Landi Kotal,PK23303,,,,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Central Kurram,PK23401,,,,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lower Kurram,PK23402,,,,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Upper Kurram,PK23403,,,,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Ambar Utman Khel,PK23501,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Halimzai,PK23502,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Pindiali,PK23503,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Prang Ghar,PK23504,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Safi,PK23505,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Upper Momand,PK23506,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Yaka Ghund,PK23507,,,,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Data Khel,PK23601,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Dossali,PK23602,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Garyum,PK23603,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Ghulam Khan,PK23604,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mir Ali,PK23605,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Miran Shah,PK23606,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Razmak,PK23607,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Shewa,PK23608,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Spinwam,PK23609,,,,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Central Orakzai,PK23701,,,,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Ismailzai,PK23702,,,,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
