#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Liaquatpur,PK62802,,,,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rahim Yar Khan,PK62803,,,,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sadiqabad,PK62804,,,,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
De- Excluded Area Rajanpur,PK62901,,,,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jampur,PK62902,,,,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rajanpur,PK62903,,,,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rojhan,PK62904,,,,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gujar Khan,PK63001,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kahuta,PK63002,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kallar Sayedan,PK63003,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kotli Sattian,PK63004,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Murree,PK63005,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rawalpindi,PK63006,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Taxila,PK63007,,,,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chichawatni,PK63101,,,,Sahiwal,PK631,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sahiwal (Sahiwal),PK63102,,,,Sahiwal,PK631,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bhalwal,PK63201,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kot Momin,PK63202,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sahiwal (Sardogha),PK63203,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sargodha,PK63204,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Shahpur,PK63205,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sillanwali,PK63206,,,,Sargodha,PK632,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Ferozewala,PK63301,,,,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Muridke,PK63302,,,,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sharqpur,PK63303,,,,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sheikhupura,PK63304,,,,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Daska,PK63401,,,,Sialkot,PK634,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pasrur,PK63402,,,,Sialkot,PK634,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sambrial,PK63403,,,,Sialkot,PK634,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sialkot,PK63404,,,,Sialkot,PK634,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gojra,PK63501,,,,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kamalia,PK63502,,,,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Toba Tek Singh,PK63503,,,,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Burewala,PK63601,,,,Vehari,PK636,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mailsi,PK63602,,,,Vehari,PK636,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Vehari,PK63603,,,,Vehari,PK636,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Awaran,PK70101,,,,Awaran,PK701,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jhal Jao,PK70102,,,,Awaran,PK701,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mashkai,PK70103,,,,Awaran,PK701,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Barkhan,PK70201,,,,Barkhan,PK702,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Chagai,PK70401,,,,Chagai,PK704,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dalbandin,PK70402,,,,Chagai,PK704,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Taftan,PK70403,,,,Chagai,PK704,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dera Bugti,PK70501,,,,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Phelawagh,PK70502,,,,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sui,PK70503,,,,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gwadar,PK70601,,,,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jiwani,PK70602,,,,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Ormara,PK70603,,,,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Pasni,PK70604,,,,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Harnai,PK70701,,,,Harnai,PK707,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gandakha,PK70801,,,,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jhat Pat,PK70802,,,,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Usta Muhammad,PK70804,,,,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gandawa,PK70901,,,,Jhal Magsi,PK709,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jhal Magsi,PK70902,,,,Jhal Magsi,PK709,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kalat,PK71001,,,,Kalat,PK710,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Surab,PK71002,,,,Kalat,PK710,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mach,PK71102,,,,Kachhi,PK711,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sanni,PK71103,,,,Kachhi,PK711,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Balnigor,PK71201,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Buleda,PK71202,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dasht (Kech),PK71203,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kech,PK71204,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mand,PK71205,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Tump,PK71206,,,,Kech,PK712,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kharan,PK71301,,,,Kharan,PK713,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Khuzdar,PK71401,,,,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Nal,PK71402,,,,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Wadh,PK71403,,,,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Zehri,PK71404,,,,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Chaman,PK71501,,,,Killa Abdullah,PK715,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Killa Abdullah,PK71502,,,,Killa Abdullah,PK715,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Badinai,PK71601,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kan Mehtarzai,PK71602,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Killa Saifullah,PK71603,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Loi Band,PK71604,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Muslim Bagh,PK71605,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Shinkai,PK71606,,,,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kahan,PK71701,,,,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kohlu,PK71702,,,,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mawand,PK71703,,,,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Bela,PK71801,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dureji,PK71802,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gaddani,PK71803,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Hub,PK71804,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kanraj,PK71805,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Lakhra,PK71806,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Liari,PK71807,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sonmiani,PK71808,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Uthal,PK71809,,,,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Duki,PK71901,,,,Loralai,PK719,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Loralai,PK71902,,,,Loralai,PK719,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dasht (Mastung),PK72001,,,,Mastung,PK720,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mastung,PK72002,,,,Mastung,PK720,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Musakhel,PK72101,,,,Musakhel,PK721,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Baba Kot,PK72201,,,,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Chattar,PK72202,,,,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dera Murad Jamali,PK72203,,,,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Tamboo,PK72204,,,,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Nushki,PK72301,,,,Nushki,PK723,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gichk,PK72401,,,,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Panjgur,PK72402,,,,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Parome,PK72403,,,,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Barshore,PK72501,,,,Pishin,PK725,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Karezat,PK72502,,,,Pishin,PK725,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Pishin,PK72503,,,,Pishin,PK725,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Quetta City,PK72601,,,,Quetta,PK726,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Panjpai,PK72602,,,,Quetta,PK726,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sheerani,PK72701,,,,Sheerani,PK727,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kut Mandai,PK72801,,,,Sibi,PK728,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sangan,PK72803,,,,Sibi,PK728,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sibi,PK72804,,,,Sibi,PK728,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Besima,PK72901,,,,Washuk,PK729,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mashkhel,PK72902,,,,Washuk,PK729,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Nag,PK72903,,,,Washuk,PK729,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Washuk,PK72904,,,,Washuk,PK729,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kakar Khurasan,PK73001,,,,Zhob,PK730,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Zhob,PK73002,,,,Zhob,PK730,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sinjawi,PK73101,,,,Ziarat,PK731,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Ziarat,PK73102,,,,Ziarat,PK731,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Bhag,PK73201,,,,Lehri,PK732,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Lehri,PK73202,,,,Lehri,PK732,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sohbatpur,PK73301,,,,Sohbatpur,PK733,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Badin,PK80101,,,,Badin,PK801,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Matli,PK80102,,,,Badin,PK801,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shaheed Fazal Rahu,PK80103,,,,Badin,PK801,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Bago,PK80104,,,,Badin,PK801,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Dadu,PK80201,,,,Dadu,PK802,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Johi,PK80202,,,,Dadu,PK802,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khairpur Nathan Shah,PK80203,,,,Dadu,PK802,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mehar,PK80204,,,,Dadu,PK802,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Daharki,PK80301,,,,Ghotki,PK803,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Ghotki,PK80302,,,,Ghotki,PK803,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khangarh,PK80303,,,,Ghotki,PK803,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirpur Mathelo,PK80304,,,,Ghotki,PK803,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Ubauro,PK80305,,,,Ghotki,PK803,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Hyderabad,PK80401,,,,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Qasimabad,PK80402,,,,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Latifabad,PK80403,,,,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Hyderabad City,PK80404,,,,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Garhi Khairo,PK80501,,,,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jacobabad,PK80502,,,,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Thul,PK80503,,,,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kotri,PK80601,,,,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sehwan,PK80602,,,,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Thano Bula Khan,PK80603,,,,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Manjhand,PK80604,,,,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Malir,PK80701,,,,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Karachi West,PK80702,,,,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Karachi Central,PK80703,,,,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Karachi South,PK80704,,,,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Karachi East,PK80705,,,,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kanhdkot,PK80801,,,,Kashmore,PK808,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kashmore,PK80802,,,,Kashmore,PK808,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tangwani,PK80803,,,,Kashmore,PK808,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Faiz Ganj,PK80901,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Gambat,PK80902,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khairpur,PK80903,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kingri,PK80904,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kot Diji,PK80905,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirwah,PK80906,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Nara,PK80907,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sobodhero,PK80908,,,,Khairpur,PK809,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Bakrani,PK81001,,,,Larkana,PK810,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Dokri,PK81002,,,,Larkana,PK810,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Larkana,PK81003,,,,Larkana,PK810,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Ratodero,PK81004,,,,Larkana,PK810,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Hala,PK81101,,,,Matiari,PK811,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Matiari,PK81102,,,,Matiari,PK811,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Digri,PK81201,,,,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jhuddo,PK81202,,,,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kot Ghulam Muhammad,PK81203,,,,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirpur Khas,PK81204,,,,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Bhiria,PK81301,,,,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kandiaro,PK81302,,,,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Moro,PK81303,,,,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Naushahro Feroze,PK81304,,,,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jan Nawaz Ali,PK81401,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khipro,PK81402,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sanghar,PK81403,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shahdadpur,PK81404,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sinjhoro,PK81405,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Adam,PK81406,,,,Sanghar,PK814,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kambar Ali Khan,PK81501,,,,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Miro Khan,PK81502,,,,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shahdadkot,PK81503,,,,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Warah,PK81504,,,,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Qubo Saeed Khan,PK81505,,,,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Daur,PK81601,,,,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kazi Ahmed,PK81602,,,,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Nawabshah,PK81603,,,,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sakrand,PK81604,,,,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Garhi Yasin,PK81701,,,,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khanpur (Shikarpur),PK81702,,,,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Lakhi,PK81703,,,,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shikarpur,PK81704,,,,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Pano Aqil,PK81801,,,,Sukkur,PK818,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Rohri,PK81802,,,,Sukkur,PK818,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Salehpat,PK81803,,,,Sukkur,PK818,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sukkur,PK81804,,,,Sukkur,PK818,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Allah Yar,PK81901,,,,Tando Allah Yar,PK819,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Muhammad Khan,PK82001,,,,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Ghulam Hyder,PK82002,,,,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Bulri Shah Karim,PK82003,,,,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Chachro,PK82101,,,,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Diplo,PK82102,,,,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mithi,PK82103,,,,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Nagarparkar,PK82104,,,,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Ghorabari,PK82201,,,,Thatta,PK822,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Keti Bander,PK82203,,,,Thatta,PK822,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirpur Sakro,PK82206,,,,Thatta,PK822,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Thatta,PK82209,,,,Thatta,PK822,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kunri,PK82301,,,,Umerkot,PK823,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Pithoro,PK82302,,,,Umerkot,PK823,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Samaro,PK82303,,,,Umerkot,PK823,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Umerkot,PK82304,,,,Umerkot,PK823,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jati,PK82401,,,,Sujawal,PK824,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kharochan,PK82402,,,,Sujawal,PK824,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirpur Bathoro,PK82403,,,,Sujawal,PK824,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shah Bander,PK82404,,,,Sujawal,PK824,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sujawal,PK82405,,,,Sujawal,PK824,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
