#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Jalapa,NI0505,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Murra,NI0510,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Jícaro,NI0515,Jicaro,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
San Fernando,NI0520,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Mozonte,NI0525,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Dipilto,NI0530,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Macuelizo,NI0535,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Santa María,NI0540,Santa Maria,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Ocotal,NI0545,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Ciudad Antigua,NI0550,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Quilalí,NI0555,Quilali,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Wiwilí de Nueva Segovia,NI0560,Wiwili de Nueva Segovia,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
Wiwilí de Jinotega,NI1005,Wiwili de Jinotega,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
El Cuá,NI1010,El Cua,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
San José de Bocay,NI1012,San Jose de Bocay,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
Santa María de Pantasma,NI1015,Santa Maria de Pantasma,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
San Rafael del Norte,NI1020,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
San Sebastián de Yalí,NI1025,San Sebastian de Yalí,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
La Concordia,NI1030,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
Jinotega,NI1035,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
Somoto,NI2005,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Totogalpa,NI2010,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Telpaneca,NI2015,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
San Juan del Río Coco,NI2020,San Juan del Rio Coco,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Palacagüina,NI2025,Palacaguina,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Yalagüina,NI2030,Yalaguina,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
San Lucas,NI2035,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Las Sabanas,NI2040,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
San José de Cusmapa,NI2045,San Jose de Cusmapa,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
Pueblo Nuevo,NI2505,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
Condega,NI2510,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
Estelí,NI2515,Esteli,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
San Juan de Limay,NI2520,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
La Trinidad,NI2525,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
San Nicolás,NI2530,San Nicolas,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
San Francisco del Norte,NI3000,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
San Pedro del Norte,NI3005,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Cinco Pinos,NI3015,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Santo Tomás del Norte,NI3020,Santo Tomas del Norte,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
El Viejo,NI3025,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Puerto Morazán,NI3030,Puerto Morazan,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Somotillo,NI3035,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Villanueva,NI3040,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Chinandega,NI3045,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
El Realejo,NI3050,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Corinto,NI3055,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Chichigalpa,NI3060,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Posoltega,NI3065,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
Achuapa,NI3505,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
El Sauce,NI3510,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
Santa Rosa del Peñón,NI3515,Santa Rosa del Penon,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
El Jicaral,NI3520,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
Larreynaga,NI3525,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
Telica,NI3530,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
Quezalguaque,NI3535,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
León,NI3540,Leon,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
La Paz Centro,NI3545,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
