#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Arlit,NE001002001,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Dannet,NE001002002,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Gougaram,NE001002003,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Bilma,NE001003001,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Dirkou,NE001003002,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Djado,NE001003003,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Fachi,NE001003004,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Iferouane,NE001004001,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Timia,NE001004002,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Ingall,NE001005001,,,,Ingall,NE001005,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Agadez,NE001006001,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Dabaga,NE001006002,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Tabelot,NE001006003,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Tchirozerine,NE001006004,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Bosso,NE002001001,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Toumour,NE002001002,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Chétimari,NE002002001,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Diffa,NE002002002,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Geskerou,NE002002003,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Goudoumaria,NE002003001,,,,Goudoumaria,NE002003,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Foulatari,NE002004001,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Maine-Soroa,NE002004002,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
N'Gelbely,NE002004003,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
N'Gourti,NE002005001,,,,N'Gourti,NE002005,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
Kablewa,NE002006001,,,,N'Guigmi,NE002006,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
N'Guigmi,NE002006002,,,,N'Guigmi,NE002006,Diffa,NE002,Niger,NE,2006-01-01,2019-09-12,
