#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Haa Alif Atoll,MV001001,,North Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
Haa Dhaal Atoll,MV001002,,South Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
Shaviyani Atoll,MV001003,,North Miladhunmadulu,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
Noonu Atoll,MV002004,,South Miladhunmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
Lhaviyani Atoll,MV002005,,Faadhippolhu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
Raa Atoll,MV002006,,North Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
Baa Atoll,MV002007,,South Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
Male,MV003021,,Male',,Male Economic,MV003,Maldives,MV,2010-01-01,2021-03-31,
Alif Uthuru Buri,MV004008,,North Ari,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Kaafu Atoll,MV004009,,Male',,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Vaavu Atoll,MV004010,,Felidhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Faafu Atoll,MV004011,,North Nilandhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Dhaal Atoll,MV004012,,South Nilandhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Meemu Atoll,MV004013,,Mulaku,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Thaa Atoll,MV004014,,Kolhumadulu,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Laamu Atoll,MV004015,,Hadhdhunmathee,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Alif Dhekunu Buri,MV004020,,South Ari,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
Gaaf Alif Atoll,MV005016,,North Huvadhoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
Gaaf Dhaal Atoll,MV005017,,South Huvadhoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
Gnaviyani Atoll,MV005018,,Foammulah,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
Seenu Atoll,MV005019,,Addoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
