#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bengo,AO01,,,,Angola,AO,2018-08-30,2018-09-04,
Benguela,AO02,,,,Angola,AO,2018-08-30,2018-09-04,
Bié,AO03,Bie,,,Angola,AO,2018-08-30,2018-09-04,
Cabinda,AO04,,,,Angola,AO,2018-08-30,2018-09-04,
Cuando Cubango,AO05,,,,Angola,AO,2018-08-30,2018-09-04,
Cuanza Norte,AO06,,,,Angola,AO,2018-08-30,2018-09-04,
Cuanza Sul,AO07,,,,Angola,AO,2018-08-30,2018-09-04,
Cunene,AO08,,,,Angola,AO,2018-08-30,2018-09-04,
Huíla,AO09,Huila,,,Angola,AO,2018-08-30,2018-09-04,
Huambo,AO10,,,,Angola,AO,2018-08-30,2018-09-04,
Luanda,AO11,,,,Angola,AO,2018-08-30,2018-09-04,
Lunda Norte,AO12,,,,Angola,AO,2018-08-30,2018-09-04,
Lunda Sul,AO13,,,,Angola,AO,2018-08-30,2018-09-04,
Malanje,AO14,,,,Angola,AO,2018-08-30,2018-09-04,
Moxico,AO15,,,,Angola,AO,2018-08-30,2018-09-04,
Namibe,AO16,,,,Angola,AO,2018-08-30,2018-09-04,
Uíge,AO17,Uige,,,Angola,AO,2018-08-30,2018-09-04,
Zaire,AO18,,,,Angola,AO,2018-08-30,2018-09-04,
