#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_hat+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_hat+is_latn,#adm2+name+alt2+i_hat+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_hat+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_hat+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Port-au-Prince,Port-au-Prince,,HT0111,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Delmas,Delmas,,HT0112,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Carrefour,Carrefour,,HT0113,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Petion-Ville,Pétion-Ville,,HT0114,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Kenscoff,Kenscoff,,HT0115,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Gressier,Gressier,,HT0116,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cite Soleil,Cité Soleil,,HT0117,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Tabarre,Tabarre,,HT0118,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Leogane,Léogâne,,HT0121,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Petit-Goave,Petit-Goâve,,HT0122,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grand-Goave,Grand-Goâve,,HT0123,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Thomazeau,Thomazeau,,HT0132,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
