#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kayes,ML01,,,,Mali (le),ML,2013-05-31,2019-08-02,
Koulikoro,ML02,,,,Mali (le),ML,2013-05-31,2019-08-02,
Sikasso,ML03,,,,Mali (le),ML,2013-05-31,2019-08-02,
Ségou,ML04,Segou,,,Mali (le),ML,2013-05-31,2019-08-02,
Mopti,ML05,,,,Mali (le),ML,2013-05-31,2019-08-02,
Tombouctou,ML06,,,,Mali (le),ML,2013-05-31,2019-08-02,
Gao,ML07,,,,Mali (le),ML,2013-05-31,2019-08-02,
Kidal,ML08,,,,Mali (le),ML,2013-05-31,2019-08-02,
Bamako,ML09,,,,Mali (le),ML,2013-05-31,2019-08-02,
