#adm2+name+i_fra+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Djérem,,CM001001,Djerem,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Faro-et-Déo,,CM001002,Faro-et-Deo,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Banyo,,CM001003,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbéré,,CM001004,Mbere,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Vina,,CM001005,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Haute-Sanaga,,CM002001,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lekié,,CM002002,Lekie,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbam-et-Inoubou,,CM002003,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbam-et-Kim,,CM002004,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mefou-et-Afamba,,CM002005,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mefou-et-Akono,,CM002006,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mfoundi,,CM002007,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyong-et-Kellé,,CM002008,Nyong-et-Kelle,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyong-et-Mfoumou,,CM002009,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyong-et-So'o,,CM002010,Nyong-et-Soo,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Boumba-et-Ngoko,,CM003001,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Haut-Nyong,,CM003002,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kadey,,CM003003,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lom-et-Djérem,,CM003004,Lom-et-Djerem,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Diamaré,,CM004001,Diamare,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Logone-et-Chari,,CM004002,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Danay,,CM004003,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Kani,,CM004004,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Sava,,CM004005,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Tsanaga,,CM004006,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Moungo,,CM005001,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nkam,,CM005002,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Sanaga-Maritime,,CM005003,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Wouri,,CM005004,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bénoué,,CM006001,Benoue,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Faro,,CM006002,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Louti,,CM006003,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Rey,,CM006004,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Boyo,,CM007001,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bui,,CM007002,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Donga-Mantung,,CM007003,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Menchum,,CM007004,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
