#adm2+name+i_eng+is_latn,#adm2+name+i_tur+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tur+is_latn,#adm2+name+alt2+i_tur+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_tur+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tur+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aladag,Aladağ,TR001001,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ceyhan,Ceyhan,TR001002,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cukurova,Çukurova,TR001003,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Feke,Feke,TR001004,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Imamoglu,Imamoğlu,TR001005,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karaisali,Karaisali,TR001006,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karatas,Karataş,TR001007,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kozan,Kozan,TR001008,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Pozanti,Pozanti,TR001009,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Saimbeyli,Saimbeyli,TR001010,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Saricam,Sariçam,TR001011,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Seyhan,Seyhan,TR001012,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tufanbeyli,Tufanbeyli,TR001013,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yumurtalik,Yumurtalik,TR001014,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yuregir,Yüreğir,TR001015,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Adiyaman,Adiyaman,TR002001,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Besni,Besni,TR002002,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Celikhan,Çelikhan,TR002003,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gerger,Gerger,TR002004,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Golbasi,Gölbaşi,TR002005,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kahta,Kahta,TR002006,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Samsat,Samsat,TR002007,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sincik,Sincik,TR002008,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tut,Tut,TR002009,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Afyonkarahisar,Afyonkarahisar,TR003001,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Basmakci,Başmakçi,TR003002,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bayat,Bayat,TR003003,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bolvadin,Bolvadin,TR003004,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cay,Çay,TR003005,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cobanlar,Çobanlar,TR003006,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dazkiri,Dazkiri,TR003007,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dinar,Dinar,TR003008,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Emirdag,Emirdağ,TR003009,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Evciler,Evciler,TR003010,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hocalar,Hocalar,TR003011,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ihsaniye,Ihsaniye,TR003012,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Iscehisar,Iscehisar,TR003013,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kiziloren,Kizilören,TR003014,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sandikli,Sandikli,TR003015,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sinanpasa,Sinanpaşa,TR003016,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sultandagi,Sultandaği,TR003017,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Suhut,Şuhut,TR003018,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Agri,Ağri,TR004001,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Diyadin,Diyadin,TR004002,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dogubayazit,Doğubayazit,TR004003,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Eleskirt,Eleşkirt,TR004004,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hamur,Hamur,TR004005,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Patnos,Patnos,TR004006,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Taslicay,Taşliçay,TR004007,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tutak,Tutak,TR004008,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Amasya,Amasya,TR005001,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Goynucek,Göynücek,TR005002,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gumushacikoy,Gümüşhaciköy,TR005003,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hamamozu,Hamamözü,TR005004,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Merzifon,Merzifon,TR005005,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Suluova,Suluova,TR005006,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tasova,Taşova,TR005007,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Akyurt,Akyurt,TR006001,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Altindag,Altindağ,TR006002,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ayas,Ayaş,TR006003,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bala,Bala,TR006004,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Beypazari,Beypazari,TR006005,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Camlidere,Çamlidere,TR006006,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cankaya,Çankaya,TR006007,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
