#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aguascalientes,MX01001,,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Asientos,MX01002,,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Calvillo,MX01003,,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Cosío,MX01004,Cosio,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Jesús María,MX01005,Jesus Maria,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Pabellón de Arteaga,MX01006,Pabellon de Arteaga,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Rincón de Romos,MX01007,Rincon de Romos,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
San José de Gracia,MX01008,San Jose de Gracia,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Tepezalá,MX01009,Tepezala,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
El Llano,MX01010,,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
San Francisco de los Romo,MX01011,,,,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
Ensenada,MX02001,,,,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
Mexicali,MX02002,,,,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
Tecate,MX02003,,,,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
Tijuana,MX02004,,,,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
Playas de Rosarito,MX02005,,,,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
Comondú,MX03001,Comondu,,,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
Mulegé,MX03002,Mulege,,,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
La Paz,MX03003,,,,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
Los Cabos,MX03008,,,,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
Loreto,MX03009,,,,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
Calkiní,MX04001,Calkini,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Campeche,MX04002,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Carmen,MX04003,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Champotón,MX04004,Champoton,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Hecelchakán,MX04005,Hecelchakan,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Hopelchén,MX04006,Hopelchen,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Palizada,MX04007,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Tenabo,MX04008,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Escárcega,MX04009,Escarcega,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Calakmul,MX04010,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Candelaria,MX04011,,,,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
Abasolo,MX05001,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Acuña,MX05002,Acuna,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Allende,MX05003,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Arteaga,MX05004,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Candela,MX05005,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Castaños,MX05006,Castanos,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Cuatro Ciénegas,MX05007,Cuatro Cienegas,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Escobedo,MX05008,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Francisco I. Madero,MX05009,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Frontera,MX05010,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
General Cepeda,MX05011,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Guerrero,MX05012,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Hidalgo,MX05013,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Jiménez,MX05014,Jimenez,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Juárez,MX05015,Juarez,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Lamadrid,MX05016,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Matamoros,MX05017,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Monclova,MX05018,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Morelos,MX05019,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Múzquiz,MX05020,Muzquiz,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Nadadores,MX05021,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Nava,MX05022,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Ocampo,MX05023,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Parras,MX05024,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Piedras Negras,MX05025,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Progreso,MX05026,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Ramos Arizpe,MX05027,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Sabinas,MX05028,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Sacramento,MX05029,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Saltillo,MX05030,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
San Buenaventura,MX05031,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
San Juan de Sabinas,MX05032,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
San Pedro,MX05033,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Sierra Mojada,MX05034,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Torreón,MX05035,Torreon,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Viesca,MX05036,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Villa Unión,MX05037,Villa Union,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Zaragoza,MX05038,,,,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
Armería,MX06001,Armeria,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Colima,MX06002,,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Comala,MX06003,,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Coquimatlán,MX06004,Coquimatlan,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Cuauhtémoc,MX06005,Cuauhtemoc,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Ixtlahuacán,MX06006,Ixtlahuacan,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Manzanillo,MX06007,,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Minatitlán,MX06008,Minatitlan,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Tecomán,MX06009,Tecoman,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Villa de Álvarez,MX06010,Villa de Alvarez,,,Colima,MX06,México,MX,2020-06-23,2021-06-23,
Acacoyagua,MX07001,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Acala,MX07002,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Acapetahua,MX07003,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Altamirano,MX07004,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Amatán,MX07005,Amatan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Amatenango de la Frontera,MX07006,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Amatenango del Valle,MX07007,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Angel Albino Corzo,MX07008,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Arriaga,MX07009,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Bejucal de Ocampo,MX07010,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Bella Vista,MX07011,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Berriozábal,MX07012,Berriozabal,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Bochil,MX07013,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
El Bosque,MX07014,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Cacahoatán,MX07015,Cacahoatan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Catazajá,MX07016,Catazaja,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Cintalapa,MX07017,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Coapilla,MX07018,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Comitán de Domínguez,MX07019,Comitan de Dominguez,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
La Concordia,MX07020,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Copainalá,MX07021,Copainala,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chalchihuitán,MX07022,Chalchihuitan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chamula,MX07023,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chanal,MX07024,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chapultenango,MX07025,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chenalhó,MX07026,Chenalho,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chiapa de Corzo,MX07027,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chiapilla,MX07028,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chicoasén,MX07029,Chicoasen,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chicomuselo,MX07030,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Chilón,MX07031,Chilon,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Escuintla,MX07032,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Francisco León,MX07033,Francisco Leon,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Frontera Comalapa,MX07034,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Frontera Hidalgo,MX07035,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
La Grandeza,MX07036,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Huehuetán,MX07037,Huehuetan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Huixtán,MX07038,Huixtan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Huitiupán,MX07039,Huitiupan,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
Huixtla,MX07040,,,,Chiapas,MX07,México,MX,2020-06-23,2021-06-23,
