#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bimbo,CF111,Bimbo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Damara,CF112,Damara,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Bogangolo,CF113,Bogangolo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Boali,CF114,Boali,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Bossembélé,CF115,Bossembele,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Yaloké,CF116,Yaloke,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbaïki,CF121,Mbaiki,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Mongoumba,CF122,Mongoumba,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Boda,CF123,Boda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Boganangone,CF124,Boganangone,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Boganda,CF125,Boganda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Berbérati,CF211,Berberati,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Gamboula,CF212,Gamboula,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Carnot,CF213,Carnot,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Amada-Gaza,CF214,Amada-Gaza,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Sosso-Nakombo,CF215,Sosso-Nakombo,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Dédé-Mokouba,CF216,Dede-Mokouba,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Gadzi,CF217,Gadzi,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Bouar,CF221,Bouar,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Baoro,CF222,Baoro,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Baboua,CF223,Baboua,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Abba,CF224,Abba,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Nola,CF231,Nola,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
Bambio,CF232,Bambio,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
Bayanga,CF233,Bayanga,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
Bozoum,CF311,Bozoum,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
Bocaranga,CF312,Bocaranga,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
Koui,CF313,Koui,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
