#adm2+name+i_eng+is_latn,#adm2+name+i_vie+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_vie+is_latn,#adm2+name+alt2+i_vie+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_vie+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_vie+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ba Dinh,Quận Ba Đình,VN10101,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tay Ho,Quận Tây Hồ,VN10103,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoan Kiem,Quận Hoàn Kiếm,VN10105,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hai Ba Trung,Quận Hai Bà Trưng,VN10107,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoang Mai,Quận Hoàng Mai,VN10108,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Da,Quận Đống Đa,VN10109,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Xuan,Quận Thanh Xuân,VN10111,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cau Giay,Quận Cầu Giấy,VN10113,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Long Bien,Quận Long Biên,VN10114,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Soc Son,Huyện Sóc Sơn,VN10115,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Anh,Huyện Đông Anh,VN10117,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Gia Lam,Huyện Gia Lâm,VN10119,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nam Tu Liem,Quận Nam Từ Liêm,VN10121,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Tri,Huyện Thanh Trì,VN10123,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Dong,Quận Hà Đông,VN10125,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Son Tay,Thị xã Sơn Tây,VN10127,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ba Vi,Huyện Ba Vì,VN10129,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phuc Tho,Huyện Phúc Thọ,VN10131,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dan Phuong,Huyện Đan Phượng,VN10133,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thach That,Huyện Thạch Thất,VN10135,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoai Duc,Huyện Hoài Đức,VN10137,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quoc Oai,Huyện Quốc Oai,VN10139,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Chuong My,Huyện Chương Mỹ,VN10141,,,,,,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
