#adm1+name+i_eng+is_latn,#adm1+name+i_vie+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_vie+is_latn,#adm1+name+alt2+i_vie+is_latn,#country+name+i_eng+is_latn,#country+name+i_vie+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
An Giang,An Giang,VN805,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tien Giang,Tiền Giang,VN807,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vinh Long,Vĩnh Long,VN809,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ben Tre,Bến Tre,VN811,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Kien Giang,Kiên Giang,VN813,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Can Tho city,TP. Cần Thơ,VN815,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hau Giang,Hậu Giang,VN816,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tra Vinh,Trà Vinh,VN817,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Soc Trang,Sóc Trăng,VN819,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Lieu,Bạc Liêu,VN821,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ca Mau,Cà Mau,VN823,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
