#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Gaborone,BW0101,,,,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
Francistown,BW0201,,,,Francistown,BW02,Botswana,BW,2021-05-18,2021-05-18,
Lobatse,BW0301,,,,Lobatse,BW03,Botswana,BW,2021-05-18,2021-05-18,
Selibe Phikwe,BW0401,,,,Selibe Phikwe,BW04,Botswana,BW,2021-05-18,2021-05-18,
Orapa,BW0501,,,,Orapa,BW05,Botswana,BW,2021-05-18,2021-05-18,
Jwaneng,BW0601,,,,Jwaneng,BW06,Botswana,BW,2021-05-18,2021-05-18,
Sowa Town,BW0701,,,,Sowa Town,BW07,Botswana,BW,2021-05-18,2021-05-18,
Southern,BW0801,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Barolong,BW0802,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ngwaketse West,BW0803,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
South East,BW0901,,,,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
Kweneng East,BW1001,,,,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kweneng West,BW1002,,,,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
Kgatleng,BW1101,,,,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
Serowe Palapye,BW1201,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mahalapye,BW1202,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Bobonong,BW1203,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Boteti,BW1204,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tutume,BW1205,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
North East,BW1301,,,,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Ngamiland East,BW1401,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Ngamiland West,BW1402,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Ngamiland Delta,BW1403,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Chobe,BW1501,,,,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Ghanzi,BW1601,,,,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Central Kgalagadi Game Reserve,BW1602,,,,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Kgalagadi South,BW1701,,,,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Kgalagadi North,BW1702,,,,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
