#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Cuenca,EC010150,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Baños,EC010151,Banos,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Cumbe,EC010152,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chaucha,EC010153,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Checa (Jidcay),EC010154,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chiquintad,EC010155,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Llacao,EC010156,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Molleturo,EC010157,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Nulti,EC010158,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Octavio Cordero Palacios (Sta. Rosa),EC010159,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Paccha,EC010160,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Quingeo,EC010161,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Ricaurte,EC010162,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Joaquin,EC010163,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Ana,EC010164,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sayausi,EC010165,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sidcay,EC010166,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sinincay,EC010167,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Tarqui,EC010168,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Turi,EC010169,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Valle,EC010170,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Victoria del Portete (Irquis),EC010171,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
