#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Boffa,GN001001,Boffa,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Boke,GN001002,Boke,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Gaoual,GN001003,Gaoual,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Koundara,GN001004,Koundara,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Fria,GN001005,Fria,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Conakry,GN002001,Conakry,,,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
Dabola,GN003001,Dabola,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
Dinguiraye,GN003002,Dinguiraye,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
Faranah,GN003003,Faranah,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
Kissidougou,GN003004,Kissidougou,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
Kankan,GN004001,Kankan,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
Kerouane,GN004002,Kerouane,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
Kouroussa,GN004003,Kouroussa,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
Mandiana,GN004004,Mandiana,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
Siguiri,GN004005,Siguiri,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
Coyah,GN005001,Coyah,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
Dubreka,GN005002,Dubreka,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
Forecariah,GN005003,Forecariah,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
Kindia,GN005004,Kindia,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
Telimele,GN005005,Telimele,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
Koubia,GN006001,Koubia,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
Labe,GN006002,Labe,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
Lelouma,GN006003,Lelouma,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
Mali,GN006004,Mali,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
Tougue,GN006005,Tougue,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
Dalaba,GN007001,Dalaba,,,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
Mamou,GN007002,Mamou,,,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
Pita,GN007003,Pita,,,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
Beyla,GN008001,Beyla,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
Gueckedou,GN008002,Gueckedou,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
Lola,GN008003,Lola,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
Macenta,GN008004,Macenta,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
Nzerekore,GN008005,Nzerekore,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
Yomou,GN008006,Yomou,,,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
