#adm3+name+i_spa+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Altagracia,,VE010101,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Antimano,,VE010102,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Candelaria,,VE010103,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Caricuao,,VE010104,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Catedral,,VE010105,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Coche,,VE010106,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Junquito,,VE010107,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Paraiso,,VE010108,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Recreo,,VE010109,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Valle,,VE010110,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
La Pastora,,VE010111,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
