#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_hat+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#adm1+name+alt1+i_hat+is_latn,#adm1+name+alt2+i_hat+is_latn,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_hat+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
West,Ouest,Lwès,HT01,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
South-East,Sud-Est,Sidès,HT02,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
North,Nord,Nò,HT03,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
North-East,Nord-Est,Nòdès,HT04,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Artibonite,Artibonite,Latibonit,HT05,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Centre,Centre,Sant,HT06,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
South,Sud,Sid,HT07,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grande'Anse,Grande'Anse,Grandans,HT08,GrandeAnse,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
North-West,Nord-Ouest,Nòdwès,HT09,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Nippes,Nippes,Nip,HT10,,,,,,,,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
