#adm2+name+i_ron+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_ron+is_latn,#adm2+name+alt2+i_ron+is_latn,#adm1+name+i_ron+is_latn,#adm1+code+v_pcode,#country+name+i_ron+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bacău,RO001047,Bacau,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Botoșani,RO001074,Botosani,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Iași,RO001225,Iasi,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Neamț,RO001270,Neamt,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Suceava,RO001332,,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Vaslui,RO001378,,,,Nord-Est,RO001,România,RO,2022-03-09,2022-05-03,
Brăila,RO002092,Braila,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Buzău,RO002109,Buzau,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Constanța,RO002136,Constanta,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Galați,RO002172,Galati,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Tulcea,RO002369,,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Vrancea,RO002396,,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
Argeș,RO003038,Arges,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Dâmbovița,RO003154,Dambovita,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Ialomița,RO003216,Ialomita,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Prahova,RO003298,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Teleorman,RO003341,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Călărași,RO003519,Calarasi,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Giurgiu,RO003528,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
Dolj,RO004163,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
Gorj,RO004181,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
Mehedinți,RO004252,Mehedinti,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
Olt,RO004289,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
Vâlcea,RO004387,Valcea,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
Arad,RO005029,,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
Caraș-Severin,RO005118,Caras-Severin,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
Hunedoara,RO005207,,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
Timiș,RO005350,Timis,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
Bihor,RO006056,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Bistrița-Năsăud,RO006065,Bistrita-Nasaud,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Cluj,RO006127,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Maramureș,RO006243,Maramures,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Satu Mare,RO006305,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Sălaj,RO006314,Salaj,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
Alba,RO007010,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Brașov,RO007083,Brasov,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Covasna,RO007145,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Harghita,RO007190,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Mureș,RO007261,Mures,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Sibiu,RO007323,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
Ilfov,RO008234,,,,București-Ilfov,RO008,România,RO,2022-03-09,2022-05-03,
București,RO008403,Bucuresti,,,București-Ilfov,RO008,România,RO,2022-03-09,2022-05-03,
