#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bafoulabe,ML0101,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diéma,ML0102,Diema,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kayes,ML0103,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kéniéba,ML0104,Kenieba,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kita,ML0105,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Nioro,ML0106,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Yélimané,ML0107,Yelimane,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Banamba,ML0201,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Dioila,ML0202,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Kangaba,ML0203,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Kati,ML0204,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Kolokani,ML0205,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Koulikoro,ML0206,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Nara,ML0207,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
Bougouni,ML0301,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Kadiolo,ML0302,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Kolondieba,ML0303,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Koutiala,ML0304,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Sikasso,ML0305,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Yanfolila,ML0306,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Yorosso,ML0307,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
Baraouéli,ML0401,Baraoueli,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Bla,ML0402,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Macina,ML0403,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Niono,ML0404,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
San,ML0405,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Ségou,ML0406,Segou,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Tominian,ML0407,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
Bandiagara,ML0501,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Bankass,ML0502,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Djenné,ML0503,Djenne,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Douentza,ML0504,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Koro,ML0505,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Mopti,ML0506,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Ténenkou,ML0507,Tenenkou,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Youwarou,ML0508,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
Diré,ML0601,Dire,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
Goundam,ML0602,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
Gourma-Rharous,ML0603,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
Niafunké,ML0604,Niafunke,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
Tombouctou,ML0605,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
Ansongo,ML0701,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
Bourem,ML0702,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
Gao,ML0703,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
Abeibara,ML0801,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
Kidal,ML0802,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
Tessalit,ML0803,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
Tin-Essako,ML0804,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
Bamako,ML0901,,,,Bamako,ML09,Mali (le),ML,2015-06-01,2021-12-23,
Ménaka,ML1001,Menaka,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
Anderamboukane,ML1002,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
Inekar,ML1003,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
Tidermene,ML1004,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
