#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:340:1:1,1,1603:45:16:340:0,1603:45:16:340:1:1,Atlantida,HN01,Atlantida,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:2,2,1603:45:16:340:0,1603:45:16:340:1:2,Colon,HN02,Colon,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:3,3,1603:45:16:340:0,1603:45:16:340:1:3,Comayagua,HN03,Comayagua,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:4,4,1603:45:16:340:0,1603:45:16:340:1:4,Copan,HN04,Copan,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:5,5,1603:45:16:340:0,1603:45:16:340:1:5,Cortes,HN05,Cortes,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:6,6,1603:45:16:340:0,1603:45:16:340:1:6,Choluteca,HN06,Choluteca,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:7,7,1603:45:16:340:0,1603:45:16:340:1:7,El Paraiso,HN07,El Paraiso,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:8,8,1603:45:16:340:0,1603:45:16:340:1:8,Francisco Morazan,HN08,Francisco Morazan,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:9,9,1603:45:16:340:0,1603:45:16:340:1:9,Gracias a Dios,HN09,Gracias a Dios,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:10,10,1603:45:16:340:0,1603:45:16:340:1:10,Intibuca,HN10,Intibuca,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:11,11,1603:45:16:340:0,1603:45:16:340:1:11,Islas de La Bahia,HN11,Islas de La Bahia,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:12,12,1603:45:16:340:0,1603:45:16:340:1:12,La Paz,HN12,La Paz,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:13,13,1603:45:16:340:0,1603:45:16:340:1:13,Lempira,HN13,Lempira,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:14,14,1603:45:16:340:0,1603:45:16:340:1:14,Ocotepeque,HN14,Ocotepeque,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:15,15,1603:45:16:340:0,1603:45:16:340:1:15,Olancho,HN15,Olancho,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:16,16,1603:45:16:340:0,1603:45:16:340:1:16,Santa Barbara,HN16,Santa Barbara,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:17,17,1603:45:16:340:0,1603:45:16:340:1:17,Valle,HN17,Valle,,,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:1:18,18,1603:45:16:340:0,1603:45:16:340:1:18,Yoro,HN18,Yoro,,,Honduras,HN,2010-07-01,2020-11-24,
