#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip17,#item+rem+i_qcc+is_zxxx+ix_wikip131,#item+rem+i_qcc+is_zxxx+ix_wikip6204
132140,Q132140,Q155,Q42800,17.217.985/0001-04
156406,Q156406,Q155,Q194343,14.045.546/0001-73
159102,Q159102,Q155,Q36947,15.180.714/0001-04
268072,Q268072,Q155,,33.787.094/0001-40
794272,Q794272,Q155,,09.296.295/0001-60
1601457,Q1601457,Q155,,81.243.735.0002-29
1851075,Q1851075,Q155,Q132997,83.899.526/0001-82
2119413,Q2119413,Q155,Q2844,00.530.279/0001-15
2582930,Q2582930,Q155,,00.317.929/0001-49|14.674.451/0001-19
3064093,Q3064093,Q155,,33.014.556.0385-92
3131210,Q3131210,Q155,,71.673.990/0001-77
3411543,Q3411543,Q155,,47.508.411/0001-56
4056893,Q4056893,Q155,,02.030.715/0001-12
4381995,Q4381995,Q155,,00.336.701/0001-04
4384447,Q4384447,Q155,Q174,60.453.032/0001-74
4698096,Q4698096,Q155,,04.944.958/0001-91
4842556,Q4842556,Q155,Q36947,10.764.307/0001-12
4854137,Q4854137,Q155,,07.237.373/0001-20
5167991,Q5167991,Q155,Q2844,00.889.834/0001-08
6614109,Q6614109,Q155,Q1648067,07.777.800/0001-62
7129529,Q7129529,Q155,,04.825.452/0001-63
7453019,Q7453019,Q155,,04.459.311/0001-74
7603636,Q7603636,Q155,Q22062839,13.069.489/0001-08
7665078,Q7665078,Q155,Q36947,10.724.903/0001-79
9571071,Q9571071,Q155,Q630203,02.524.600/0001-84
9656772,Q9656772,Q155,Q36947,13.341.961/0001-01
9671713,Q9671713,Q155,,22.623.259/0001-21
9727096,Q9727096,Q155,Q984571,23.354.848/0001-14
10274292,Q10274292,Q155,Q36947,13.927.934/0001-15
10279213,Q10279213,Q155,Q985576,07.114.699/0001-60
10279219,Q10279219,Q155,Q36947,08.346.085/0001-76A
10279221,Q10279221,Q155,Q36947,74.333.097/0001-90
10279265,Q10279265,Q155,Q22062839,03.262.477/0001-33
10279307,Q10279307,Q155,Q36947,13.477.369/0001-31
10279313,Q10279313,Q155,Q36947,33.164.450/0001-79
10279315,Q10279315,Q155,Q36947,03.871.465/0001-06
10279501,Q10279501,Q155,Q373705,04.245.712/0001-21
10279633,Q10279633,Q155,Q36947,04.670.333/0001-89
10279668,Q10279668,Q155,Q36947,19.483.683/0001-03
10279680,Q10279680,Q155,Q659450,05.933.016/0001-70
10280251,Q10280251,Q155,,43.708.379/0001-00
10286384,Q10286384,Q155,Q36947,163012020001-03
10286468,Q10286468,Q155,,00.378.257/0001-81
10287817,Q10287817,Q155,,39346861000161
10287832,Q10287832,Q155,,09.399.736/0001-59
10302895,Q10302895,Q155,Q174,63.025.530/0008-80
10303225,Q10303225,Q155,,06.040.910/0001-84
10361120,Q10361120,Q155,,25.760.877.0054-13
10371188,Q10371188,Q155,Q175,09.101.925/0001-01
10374184,Q10374184,Q155,Q174,022.754.776/0001-30
10387652,Q10387652,Q155,Q905164,04.953.429/0001-54
10387814,Q10387814,Q155,Q373705,40.738.999/0001-95
10387831,Q10387831,Q155,Q1384520,18.641.263/0001-45
10387834,Q10387834,Q155,Q460750,18.560.547/0001-07
10387910,Q10387910,Q155,Q36947,14.485.841/0001-40
10388059,Q10388059,Q155,,05.926.814/0001-75
10394124,Q10394124,Q155,,02.332.886/0001-04
16142056,Q16142056,Q155,,00.717.513/0001-18
18484097,Q18484097,Q155,Q36947,02.608.755/0001-07
20059505,Q20059505,Q155,,02.558.157/0001-62
25422888,Q25422888,Q155,,18.236.120/0001-58
28378968,Q28378968,Q155,,29.801.908/0001-86
28677890,Q28677890,Q155,Q174,54.068.796/0001-43
28679582,Q28679582,Q155,Q282335,03.760.257/0001-30
30932907,Q30932907,Q155,,25.446.930/0001-02
41796695,Q41796695,Q155,Q5163247,04.998.253/0001-57
56278660,Q56278660,Q155,,11.815.832/0001-82
56840570,Q56840570,Q155,Q36947,09.652.671/0001-01
56840593,Q56840593,Q155,Q194343,04.670.333/0001-89
56840627,Q56840627,Q155,Q36947,01.221.872/0001-42
56840740,Q56840740,Q155,Q36947,15.239.981/0001-00
56840741,Q56840741,Q155,Q22062839,04.670.333/0001-89
56840755,Q56840755,Q155,Q36947,23.026.082/0001-49
56840766,Q56840766,Q155,Q36947,03.681.572/0001-71
56840767,Q56840767,Q155,Q36947,15.106.495/0001-05
56840860,Q56840860,Q155,Q943536,02.611.487/0001-74
56840907,Q56840907,Q155,Q36947,03.466.601/0001-82
56841100,Q56841100,Q155,Q905164,04.073.841/0001-80
56841114,Q56841114,Q155,Q36947,26.114.631/0001-25
56841194,Q56841194,Q155,Q36947,28.844.791/0001-55
56841199,Q56841199,Q155,Q36947,06.099.229/0001-01
56841219,Q56841219,Q155,Q499922,07.910.782/0001-45
56841341,Q56841341,Q155,Q36947,06.099.229/0001-01
56841376,Q56841376,Q155,Q194343,03.401.083/0001-19
56841405,Q56841405,Q155,Q1796277,02.754.493/0001-80
56841509,Q56841509,Q155,Q36947,03.395.289/0001-83
56841556,Q56841556,Q155,Q373705,05.402.067/0001-76
56841557,Q56841557,Q155,Q36947,05.817.107/0001-40
56841578,Q56841578,Q155,Q36947,07.808.396/0001-47
56844749,Q56844749,Q155,Q36947,05.817.107/0001-40
56844770,Q56844770,Q155,Q1793776,09.652.671/0001-01
56844796,Q56844796,Q155,Q36947,05.993.920/0001-71
