#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:706:2:1101,1101,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1101,Borama,SO1101,Borama,Boorama,,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1102,1102,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1102,Baki,SO1102,Baki, ,,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1103,1103,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1103,Lughaye,SO1103,Lughaye, ,,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1104,1104,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1104,Zeylac,SO1104,Zeylac,Saylac,,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1201,1201,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1201,Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1202,1202,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1202,Berbera,SO1202,Berbera, ,,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1203,1203,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1203,Gebiley,SO1203,Gebiley,Gabiley,,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1301,1301,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1301,Burco,SO1301,Burco,Burao,,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1302,1302,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1302,Buuhoodle,SO1302,Buuhoodle,Buhodle,,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1303,1303,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1303,Owdweyne,SO1303,Owdweyne,Oodweyne,,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1304,1304,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1304,Sheikh,SO1304,Sheikh,Sheekh,,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1401,1401,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1401,Laas Caanood,SO1401,Laas Caanood,"Las Caanood, Lascaanod, Lasanod, Las Anod",,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1402,1402,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1402,Caynabo,SO1402,Caynabo,Ainabo,,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1403,1403,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1403,Taleex,SO1403,Taleex,Taleh,,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1404,1404,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1404,Xudun,SO1404,Xudun,Hudun,,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1501,1501,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1501,Ceerigaabo,SO1501,Ceerigaabo,"Ceerigaavo, Erigavo, Erigabo",,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1502,1502,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1502,Ceel Afweyn,SO1502,Ceel Afweyn,"Ceel Afweyne, Ceel-afwein, El Afwein",,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1503,1503,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1503,Laasqoray,SO1503,Laasqoray,Lasqoray,,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1601,1601,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1601,Bossaso,SO1601,Bossaso,"Bossaaso, Bossaso , Bosaaso",,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1602,1602,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1602,Bandarbeyla,SO1602,Bandarbeyla,"Bandar Beyla, Bander-beyla, Benderbela",,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1603,1603,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1603,Caluula,SO1603,Caluula,"Calawla, Alula",,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1604,1604,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1604,Iskushuban,SO1604,Iskushuban, ,,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1605,1605,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1605,Qandala,SO1605,Qandala,Kandala,,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1606,1606,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1606,Qardho,SO1606,Qardho,Gardo,,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1701,1701,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1701,Garoowe,SO1701,Garoowe,Garowe,,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1702,1702,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1702,Burtinle,SO1702,Burtinle, ,,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1703,1703,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1703,Eyl,SO1703,Eyl, ,,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1801,1801,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1801,Gaalkacyo,SO1801,Gaalkacyo,"Galkacyo, Gaalkacayo, Galkayo",,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1802,1802,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1802,Galdogob,SO1802,Galdogob,Goldogob,,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1803,1803,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1803,Hobyo,SO1803,Hobyo, ,,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1804,1804,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1804,Jariiban,SO1804,Jariiban, ,,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1805,1805,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1805,Xarardheere,SO1805,Xarardheere,"Hararheere, Harardhere",,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
