#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:558:2:505,505,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:505,Jalapa,NI0505,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:510,510,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:510,Murra,NI0510,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:515,515,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:515,Jícaro,NI0515,Jicaro,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:520,520,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:520,San Fernando,NI0520,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:525,525,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:525,Mozonte,NI0525,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:530,530,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:530,Dipilto,NI0530,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:535,535,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:535,Macuelizo,NI0535,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:540,540,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:540,Santa María,NI0540,Santa Maria,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:545,545,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:545,Ocotal,NI0545,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:550,550,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:550,Ciudad Antigua,NI0550,,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
