#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:598:2:101,101,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:101,Middle Fly District,PG0101,,,,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:102,102,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:102,North Fly District,PG0102,,,,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:103,103,1603:45:16:598:0,1603:45:16:598:1:1,1603:45:16:598:2:103,South Fly District,PG0103,,,,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:201,201,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:201,Kerema District,PG0201,,,,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:202,202,1603:45:16:598:0,1603:45:16:598:1:2,1603:45:16:598:2:202,Kikori District,PG0202,,,,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:301,301,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:301,Abau District,PG0301,,,,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:302,302,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:302,Goilala District,PG0302,,,,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:303,303,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:303,Kairuku - Hiri District,PG0303,,,,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:304,304,1603:45:16:598:0,1603:45:16:598:1:3,1603:45:16:598:2:304,Rigo District,PG0304,,,,Central Province,PG03,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:2:401,401,1603:45:16:598:0,1603:45:16:598:1:4,1603:45:16:598:2:401,National Capital District,PG0401,,,,National Capital District,PG04,Papua New Guinea,PG,2019-05-10,2019-05-10,
