qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:1206,1206,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1206,Matariyya,مركز المطرية,EG1206,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1207,1207,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1207,Manzala,مركز المنزلة,EG1207,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1208,1208,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1208,Bilqas,مركز بلقاس,EG1208,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1209,1209,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1209,Dikirnis,مركز دكرنس,EG1209,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1210,1210,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1210,Shirbin,مركز شربين,EG1210,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1211,1211,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1211,Talkha,مركز طلخا,EG1211,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1212,1212,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1212,Mit Ghamr,قسم ميت غمر,EG1212,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1213,1213,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1213,Mit Ghamr,مركز ميت غمر,EG1213,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1214,1214,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1214,Minya Al-Nasr,مركز منية النصر,EG1214,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1215,1215,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1215,Gamaliyya,مركز الجمالية,EG1215,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1216,1216,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1216,Tamy Al-Amdid,مركز تمى الأمديد,EG1216,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1217,1217,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1217,MIt Salsil,مركز ميت سلسيل,EG1217,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1218,1218,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1218,Bany Abeed,مركز بنى عبيد,EG1218,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1219,1219,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1219,Mahalet Demna,مركز محلة دمنة,EG1219,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1220,1220,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1220,Gamsa,قسم جمصة,EG1220,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1221,1221,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1221,Nebro,مركز نبروة,EG1221,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1300,1300,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1300,Zemam Out,خارج الزمام,EG1300,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1301,1301,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1301,Zaqaziq 1,قسم اول الزقازيق,EG1301,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1302,1302,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1302,Zaqaziq 2,قسم ثان الزقازيق,EG1302,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1303,1303,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1303,Zaqaziq,مركز الزقازيق,EG1303,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1304,1304,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1304,Abu Hammad,مركز أبو حماد,EG1304,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1305,1305,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1305,Abu Kabir,مركز أبوكبير,EG1305,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1306,1306,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1306,Al-Husayniya,مركز الحسينية,EG1306,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1307,1307,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1307,Al-Salhiyya,قسم الصالحية الجديدة,EG1307,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1308,1308,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1308,Bilbis,مركز بلبيس,EG1308,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1309,1309,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1309,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,EG1309,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1310,1310,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1310,Dyarb Nigm,مركز ديرب نجم,EG1310,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1311,1311,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1311,Faqus,قسم فاقوس,EG1311,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1312,1312,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1312,Faqus,مركز فاقوس,EG1312,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1313,1313,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1313,Kafr Saqr,مركز كفر صقر,EG1313,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1314,1314,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1314,Minya al-Qamh,مركز منيا القمح,EG1314,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1315,1315,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1315,Hihya,مركز ههيا,EG1315,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1316,1316,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1316,Mashtul Al-Suq,مركز مشتول السوق,EG1316,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1317,1317,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1317,El-Ibrahimiya,مركز الأبراهيمية,EG1317,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1318,1318,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1318,Al-Qanayat,قسم القنايات,EG1318,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1319,1319,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1319,Awlad Saqr,مركز أولاد صقر,EG1319,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1320,1320,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1320,Qurin,قسم القرين,EG1320,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1321,1321,1603:45:16:818:0,1603:45:16:818:1:13,1603:45:16:818:2:1321,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,EG1321,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1400,1400,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1400,Zemam Out,خارج الزمام,EG1400,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1401,1401,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1401,Banha,قسم بنها,EG1401,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1402,1402,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1402,Banha,مركز بنها,EG1402,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1403,1403,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1403,Al Khanka,مركز الخانكة,EG1403,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1404,1404,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1404,Qanatir Al-Khayriyya,مركز القناطر الخيرية,EG1404,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1405,1405,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1405,Shibin al-Qanatir,مركز شبين القناطر,EG1405,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1406,1406,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1406,Shubra Al-Khayma 1,قسم أول شبرا الخيمة,EG1406,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1407,1407,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1407,Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,EG1407,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1408,1408,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1408,Tukh,مركز طوخ,EG1408,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1409,1409,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1409,Qalyub,قسم قليوب,EG1409,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1410,1410,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1410,Qalyub,مركز قليوب,EG1410,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1411,1411,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1411,Kafr Shukr,مركز كفر شكر,EG1411,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1412,1412,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1412,Khsos,قسم الخصوص,EG1412,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1413,1413,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1413,Abour,قسم العبور,EG1413,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1414,1414,1603:45:16:818:0,1603:45:16:818:1:14,1603:45:16:818:2:1414,Qaha,قسم قها,EG1414,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1501,1501,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1501,Kafr Al-Shaykh,قسم كفر الشيخ,EG1501,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1502,1502,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1502,Kafr Al-Shaykh,مركز كفر الشيخ,EG1502,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1503,1503,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1503,Burullus,مركز البرلس,EG1503,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1504,1504,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1504,Biyalu,مركز بيلا,EG1504,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1505,1505,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1505,Disuq,قسم دسوق,EG1505,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1506,1506,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1506,Disuq,مركز دسوق,EG1506,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1507,1507,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1507,Sidi Salim,مركز سيدى سالم,EG1507,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1508,1508,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1508,Fuwwa,مركز فوه,EG1508,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1509,1509,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1509,Qillin,مركز قلين,EG1509,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1510,1510,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1510,Mitubas,مركز مطوبس,EG1510,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1511,1511,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1511,Al Hamul,مركز الحامول,EG1511,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1512,1512,1603:45:16:818:0,1603:45:16:818:1:15,1603:45:16:818:2:1512,Riyad,مركز الرياض,EG1512,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1601,1601,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1601,Tanta 1,قسم أول طنطا,EG1601,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1602,1602,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1602,Tanta 2,قسم ثان طنطا,EG1602,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1603,1603,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1603,Tanta,مركز طنطا,EG1603,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1604,1604,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1604,Santa,مركز السنطة,EG1604,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1605,1605,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1605,El Mahalla El Kobra 1,قسم أول المحلة الكبرى,EG1605,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1606,1606,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1606,El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,EG1606,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1607,1607,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1607,El Mahalla El Kobra,مركز المحله الكبرى,EG1607,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1608,1608,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1608,Basyun,مركز بسيون,EG1608,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1609,1609,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1609,Zifta,مركز زفتى,EG1609,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1610,1610,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1610,Samannud,مركز سمنود,EG1610,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1611,1611,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1611,Qutur,مركز قطور,EG1611,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1612,1612,1603:45:16:818:0,1603:45:16:818:1:16,1603:45:16:818:2:1612,Kafr Al-Zayyat,مركز كفر الزيات,EG1612,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1701,1701,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1701,Shibin al-Kum,قسم شبين الكوم,EG1701,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1702,1702,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1702,Shibin al-Kum,مركز شبين الكوم,EG1702,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1703,1703,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1703,Ashmun,مركز أشمون,EG1703,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1704,1704,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1704,Al-Bagur,مركز الباجور,EG1704,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1705,1705,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1705,Al-Shuhada,مركز الشهداء,EG1705,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1706,1706,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1706,Birkat Al-Sab,مركز بركة السبع,EG1706,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1707,1707,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1707,Tala,مركز تلا,EG1707,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1708,1708,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1708,Quwisna,مركز قويسنا,EG1708,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1709,1709,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1709,Minuf,مركز منوف,EG1709,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1710,1710,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1710,Sirs Al-Layyana City,قسم مدينة سرس الليانة,EG1710,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1711,1711,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1711,Sadat City,مركز السادات,EG1711,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1712,1712,1603:45:16:818:0,1603:45:16:818:1:17,1603:45:16:818:2:1712,Minuf City,قسم مدينة منوف,EG1712,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1800,1800,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1800,Zemam Out,خارج الزمام,EG1800,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1801,1801,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1801,Damanhur,قسم دمنهور,EG1801,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1802,1802,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1802,Damanhur,مركز دمنهور,EG1802,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1803,1803,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1803,Abu-l-Matamir,مركز ابوالمطامير,EG1803,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1804,1804,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1804,Abu Hummus,مركز ابوحمص,EG1804,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1805,1805,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1805,Al-Dilingat,مركز الدلنجات,EG1805,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1806,1806,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1806,Al-Mahmudiyya,مركز المحمودية,EG1806,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1807,1807,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1807,Itay Al-Barud,مركز إيتاى البارود,EG1807,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1808,1808,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1808,Hush Isa,مركز حوش عيسى,EG1808,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1809,1809,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1809,Rashid,مركز رشيد,EG1809,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1810,1810,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1810,Shubra Khît,مركز شبراخيت,EG1810,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1811,1811,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1811,Kafr Al-Dawwar,قسم كفرالدوار,EG1811,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1812,1812,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1812,Kafr Al-Dawwar,مركز كفر الدوار,EG1812,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1813,1813,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1813,Kum Hamada,مركز كوم حمادة,EG1813,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1814,1814,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1814,Wadi Al-NatrUn,مركز وادى النطرون,EG1814,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1815,1815,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1815,Al-Rahmaniyya,مركز الرحمانية,EG1815,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1816,1816,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1816,Idku,مركز إدكو,EG1816,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1817,1817,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1817,Nubariyya West,قسم غرب النوبارية,EG1817,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1818,1818,1603:45:16:818:0,1603:45:16:818:1:18,1603:45:16:818:2:1818,Badr,مركز بدر,EG1818,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1901,1901,1603:45:16:818:0,1603:45:16:818:1:19,1603:45:16:818:2:1901,Ismailiyya 1,قسم أول الاسماعيلية,EG1901,Ismailia,الإسماعيلية,EG19,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1902,1902,1603:45:16:818:0,1603:45:16:818:1:19,1603:45:16:818:2:1902,Ismailiyya 2,قسم ثان الاسماعيلية,EG1902,Ismailia,الإسماعيلية,EG19,Egypt,مِصر,EG,2017-08-14,2020-12-01,
