qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:123,123,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:123,Hadaiq Al-Qubba,قسم حدائق القبة,EG0123,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:124,124,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:124,Al Zaytun,قسم الزيتون,EG0124,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:125,125,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:125,Al Matariyya,قسم المطرية,EG0125,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:126,126,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:126,Nasr City,قسم أول مدينة نصر,EG0126,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:127,127,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:127,Madinat Nasr-2,قسم  ثان مدينة نصر,EG0127,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:128,128,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:128,Misr al-Gadida,قسم مصر الجديدة,EG0128,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:129,129,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:129,Nuzha,قسم النزهة,EG0129,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:130,130,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:130,Ain Shams,قسم عين شمس,EG0130,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:131,131,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:131,Zawiyya Al-Hamra,قسم الزاوية الحمراء,EG0131,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:132,132,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:132,Al Salam,قسم السلام,EG0132,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:133,133,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:133,Zamalik,قسم الزمالك,EG0133,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:134,134,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:134,Minshat Nasir,منشأة ناصر,EG0134,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:135,135,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:135,Basatin,قسم  البساتين,EG0135,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:136,136,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:136,Marg,قسم المرج,EG0136,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:137,137,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:137,New Cairo-1,قسم أول القاهرة الجديدة,EG0137,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:138,138,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:138,New Cairo-2,قسم ثان القاهرة الجديدة,EG0138,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:139,139,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:139,New Cairo-3,قسم ثالث القاهرة الجديدة,EG0139,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
