#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:231:2:101,101,North Western,ET0101,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:102,102,Central,ET0102,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:103,103,Eastern,ET0103,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:104,104,Southern,ET0104,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:105,105,Western,ET0105,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:106,106,South Eastern,ET0106,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:107,107,Mekelle,ET0107,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:201,201,Awsi /Zone 1,ET0201,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:202,202,Kilbati /Zone2,ET0202,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:203,203,Gabi /Zone 3,ET0203,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:204,204,Fanti /Zone 4,ET0204,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:205,205,Hari /Zone 5,ET0205,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:301,301,North Gondar,ET0301,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:302,302,South Gondar,ET0302,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:303,303,North Wello,ET0303,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:304,304,South Wello,ET0304,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:2:305,305,North Shewa (AM),ET0305,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
