#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:8:2:101,101,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:101,Bashkia Berat,Bashkia Berat,AL0101,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:102,102,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:102,Bashkia Kucove,Bashkia Kuçovë,AL0102,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:103,103,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:103,Bashkia Polican,Bashkia Poliçan,AL0103,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:104,104,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:104,Bashkia Skrapar,Bashkia Skraparit,AL0104,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:105,105,1603:45:16:8:0,1603:45:16:8:1:1,1603:45:16:8:2:105,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,,,,,,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:201,201,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:201,Bashkia Bulqize,Bashkia Bulqizë,AL0201,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:202,202,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:202,Bashkia Diber,Bashkia Dibër,AL0202,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:203,203,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:203,Bashkia Klos,Bashkia Klos,AL0203,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:204,204,1603:45:16:8:0,1603:45:16:8:1:2,1603:45:16:8:2:204,Bashkia Mat,Bashkia Mat,AL0204,,,,,,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:301,301,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:301,Bashkia Durres,Bashkia Durrës,AL0301,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
