qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,spa-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:214:3:10101,10101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10102,10102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10102,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10103,10103,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10103,Municipio Castillo,DO010103,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10104,10104,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10104,Municipio Pimentel,DO010104,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10105,10105,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10106,10106,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10106,Municipio Las Guáranas,DO010106,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10107,10107,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10107,Municipio Eugenio María de Hostos,DO010107,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10201,10201,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10201,Municipio Salcedo,DO010201,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10202,10202,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10202,Municipio Tenares,DO010202,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10203,10203,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10203,Municipio Villa Tapia,DO010203,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10301,10301,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10301,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:3:10302,10302,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10302,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
