#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:626:1:1,1,Ainaro,TL01,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:2,2,Aileu,TL02,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:3,3,Baucau,TL03,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:4,4,Bobonaro,TL04,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:5,5,Covalima,TL05,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:6,6,Dili,TL06,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:7,7,Ermera,TL07,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:8,8,Liquiçá,TL08,Liquica,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:9,9,Lautém,TL09,Lautem,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:10,10,Manufahi,TL10,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:11,11,Manatuto,TL11,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:12,12,Oecussi,TL12,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:13,13,Viqueque,TL13,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
