#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:626:1:1,1,1603:45:16:626:0,1603:45:16:626:1:1,Ainaro,TL01,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:2,2,1603:45:16:626:0,1603:45:16:626:1:2,Aileu,TL02,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:3,3,1603:45:16:626:0,1603:45:16:626:1:3,Baucau,TL03,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:4,4,1603:45:16:626:0,1603:45:16:626:1:4,Bobonaro,TL04,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:5,5,1603:45:16:626:0,1603:45:16:626:1:5,Covalima,TL05,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:6,6,1603:45:16:626:0,1603:45:16:626:1:6,Dili,TL06,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:7,7,1603:45:16:626:0,1603:45:16:626:1:7,Ermera,TL07,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:8,8,1603:45:16:626:0,1603:45:16:626:1:8,Liquiçá,TL08,Liquica,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:9,9,1603:45:16:626:0,1603:45:16:626:1:9,Lautém,TL09,Lautem,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:10,10,1603:45:16:626:0,1603:45:16:626:1:10,Manufahi,TL10,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:11,11,1603:45:16:626:0,1603:45:16:626:1:11,Manatuto,TL11,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:12,12,1603:45:16:626:0,1603:45:16:626:1:12,Oecussi,TL12,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:1:13,13,1603:45:16:626:0,1603:45:16:626:1:13,Viqueque,TL13,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
