qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:434:1:1,1,1603:45:16:434:0,1603:45:16:434:1:1,East,الشرق,LY01,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:1:2,2,1603:45:16:434:0,1603:45:16:434:1:2,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:1:3,3,1603:45:16:434:0,1603:45:16:434:1:3,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
