#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:434:1:1,1,East,الشرق,LY01,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:1:2,2,West,الغرب,LY02,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:1:3,3,South,الجنوب,LY03,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
