#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap,#item+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1679:1:1:14,14,50,50,1679:14,,,,,//Librārium mīlitārī//,"[14] 1914, Primum bellum mundanum",,
1679:1:1:23,23,50,50,1679:23,,,,,//Librārium lēgī//,,,
1679:1:1:25,25,50,50,1679:25,,,Q11190,,Medicina,[1025] قانون در طب,https://archive.org/details/AlQaawnoonFiTTwibb/Al-Qaawnoon%20fi-t-Twibb/mode/2up,
1679:1:1:32,32,20,20,1679:32,,,Q134550,,/Translitteratio librāriīs/,"[32] Translitteratio; T=20, L=12; 20 + 12 = 32",,
1679:1:1:42,42,50,50,1679:42,,,Q192386,,Mīlitāris scientiae,[142] (142 -100) 魏伯陽 ,https://archive.org/search.php?query=title%3A%28%E6%AD%A6%E7%B6%93%E7%B8%BD%E8%A6%81%29,
1679:1:1:44,44,50,50,1679:44,,,Q495304,,Forēnsis scientiae,"[42] Antistius ex Caesar post mortī, circa 42-03-15 BC",,
1679:1:1:45,45,20,20,1679:45,,,,,Normās interimperia,[1945-10-24] Fundatio de Nationes Unitae,,
1679:1:1:45:16,45_16,20,20,1679:45:16,,,Q7200235,,(Interimperia) Locus cōdicī,[16] P,https://en.wikipedia.org/wiki/Common_Operational_Datasets#P-codes,
1679:1:1:45:16:?,45_16_?,20,20,1679:45:16:?,,\1=[1603:45:49],,,,,,
1679:1:1:45:16:?:0,45_16_?_0,20,20,1679:45:16:?:0,,\1=[1603:45:49],,,//imperium territōrium//,,,
1679:1:1:45:16:?:1,45_16_?_1,20,20,1679:45:16:?:1,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 1//,,,
1679:1:1:45:16:?:2,45_16_?_2,20,20,1679:45:16:?:2,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 2//,,,
1679:1:1:45:16:?:3,45_16_?_3,20,20,1679:45:16:?:3,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 3//,,,
1679:1:1:45:16:?:4,45_16_?_4,20,20,1679:45:16:?:4,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 4//,,,
1679:1:1:45:16:?:5,45_16_?_5,20,20,1679:45:16:?:5,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 5//,,,
1679:1:1:45:16:?:6,45_16_?_6,20,20,1679:45:16:?:6,,\1=[1603:45:49],,,//Infraimperium territōria ōrdō 6//,,,
1679:1:1:45:16:?:21:?,45_16_?_21_?,20,20,1679:45:16:?:21:?,,\1=[1603:45:49] \2=[1603:45:16:916] ,,,(Interimperia) Locus cōdicī; exāctō (A1...A6),[21] (0 + 1 + 2 + 3 + 4 + 5 + 6),,
1679:1:1:45:16:76:21,45_16_76_21,20,20,1679:45:16:76:21,,,,P1585,//Dicionários de bases de dados espaciais do Brasil//@por-Latn,,,
1679:1:1:45:16:900,45_16_900,20,20,1679:45:16:900,,,,,[private use] Entire world public P-Codes Adm 0 (>110),,,
1679:1:1:45:16:901,45_16_901,20,20,1679:45:16:901,,,,,[private use] Entire world public P-Codes A.1 (>2500),,,
1679:1:1:45:16:902,45_16_902,20,20,1679:45:16:902,,,,,[private use] Entire world public P-Codes A.2 (>33700),,,
1679:1:1:45:16:903,45_16_903,20,20,1679:45:16:903,,,,,[private use] Entire world public P-Codes A.3 (>130500),,,
1679:1:1:45:16:904,45_16_904,20,20,1679:45:16:904,,,,,[private use] Entire world public P-Codes A.4 (>265000),,,
1679:1:1:45:16:905,45_16_905,20,20,1679:45:16:905,,,,,[private use] Entire world public P-Codes A.5,,,
1679:1:1:45:16:906,45_16_906,20,20,1679:45:16:906,,,,,[private use] Entire world public P-Codes A.6,,,
1679:1:1:45:16:916,45_16_916,20,20,1679:45:16:916,,,,,[meta] UN OCHA P-Code *WITHOUT* ISO 3166-1 prefix,,,
1679:1:1:45:16:921,45_16_921,20,20,1679:45:16:921,,,,,"[private use] Entire world public P-Codes A.0 + A1, +A.2 + A.3 + A.4 + A5 + A.6 (> 430000)",[921] (0 + 1 + 2 + 3 + 4 + 5 + 6 + 900),,
1679:1:1:47,47,50,50,1679:47,,,Q1334738,,Normās interindustriās,[1947-02-23] ISO,,
1679:1:1:63,63,50,50,1679:63,,,,,//Librārium hūmānitātī strictae//,,,
1679:1:1:64,64,20,20,1679:64,,,,,/Dictiōnāria dē aquīs et aliae/,,,
1679:1:1:84,84,70,70,1679:84,,,,,Dentālis scientiae,,,
1679:1:1:99,99,10,10,1679:99,,,,,/Temporary public numeric namespace/@eng-Latn,,,
1679:1:1:999999,999999,11,11,1679:999999,,,,,Data temporāriīs,,,
1679:1:1:999999999,999999999,11,11,1679:999999999,,,,,/Non data files (used for software which generate data)/,,,
