#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:408:2:101,101,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:101,Hyesan City,KP0101,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:102,102,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:102,Samsu,KP0102,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:103,103,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:103,Kim Jong Suk,KP0103,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:104,104,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:104,Kim Hyong Jik,KP0104,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:105,105,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:105,Kim Hyong Gwon,KP0105,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:106,106,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:106,Pochon,KP0106,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:107,107,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:107,Samjiyon,KP0107,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:108,108,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:108,Taehongdan,KP0108,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:109,109,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:109,Unhung,KP0109,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:110,110,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:110,Paekam,KP0110,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:111,111,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:111,Kabsan,KP0111,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:112,112,1603:45:16:408:0,1603:45:16:408:1:1,1603:45:16:408:2:112,Phungso,KP0112,,,,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:201,201,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:201,Rason City,KP0201,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:202,202,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:202,Kim Chaek City,KP0202,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:203,203,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:203,Hoeryong City,KP0203,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:205,205,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:205,Chongjin City,KP0205,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:211,211,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:211,Kilju,KP0211,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:212,212,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:212,Hwadae,KP0212,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:213,213,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:213,Myongchon,KP0213,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:214,214,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:214,Myonggan,KP0214,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:215,215,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:215,Orang,KP0215,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:2:216,216,1603:45:16:408:0,1603:45:16:408:1:2,1603:45:16:408:2:216,Kyongsong,KP0216,,,,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
