#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:360:3:1101010,1101010,Teupah Selatan,ID1101010,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101020,1101020,Simeulue Timur,ID1101020,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101021,1101021,Teupah Barat,ID1101021,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101022,1101022,Teupah Tengah,ID1101022,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101030,1101030,Simeulue Tengah,ID1101030,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101031,1101031,Teluk Dalam,ID1101031,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101032,1101032,Simeulue Cut,ID1101032,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101040,1101040,Salang,ID1101040,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101050,1101050,Simeulue Barat,ID1101050,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1101051,1101051,Alafan,ID1101051,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102010,1102010,Pulau Banyak,ID1102010,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102011,1102011,Pulau Banyak Barat,ID1102011,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102020,1102020,Singkil,ID1102020,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102021,1102021,Singkil Utara,ID1102021,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102022,1102022,Kuala Baru,ID1102022,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102030,1102030,Simpang Kanan,ID1102030,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102031,1102031,Gunung Meriah,ID1102031,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102032,1102032,Danau Paris,ID1102032,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102033,1102033,Suro,ID1102033,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:3:1102042,1102042,Singkohor,ID1102042,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
