#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:466:2:101,101,Bafoulabe,ML0101,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:102,102,Diéma,ML0102,Diema,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:103,103,Kayes,ML0103,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:104,104,Kéniéba,ML0104,Kenieba,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:105,105,Kita,ML0105,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:106,106,Nioro,ML0106,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:107,107,Yélimané,ML0107,Yelimane,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:201,201,Banamba,ML0201,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:202,202,Dioila,ML0202,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:203,203,Kangaba,ML0203,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:204,204,Kati,ML0204,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:205,205,Kolokani,ML0205,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:206,206,Koulikoro,ML0206,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:207,207,Nara,ML0207,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:301,301,Bougouni,ML0301,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:302,302,Kadiolo,ML0302,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:303,303,Kolondieba,ML0303,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:304,304,Koutiala,ML0304,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:305,305,Sikasso,ML0305,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:306,306,Yanfolila,ML0306,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:307,307,Yorosso,ML0307,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:401,401,Baraouéli,ML0401,Baraoueli,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:402,402,Bla,ML0402,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:403,403,Macina,ML0403,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:404,404,Niono,ML0404,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:405,405,San,ML0405,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:406,406,Ségou,ML0406,Segou,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:407,407,Tominian,ML0407,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:501,501,Bandiagara,ML0501,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:502,502,Bankass,ML0502,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:503,503,Djenné,ML0503,Djenne,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:504,504,Douentza,ML0504,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:505,505,Koro,ML0505,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:506,506,Mopti,ML0506,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:507,507,Ténenkou,ML0507,Tenenkou,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:508,508,Youwarou,ML0508,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:601,601,Diré,ML0601,Dire,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:602,602,Goundam,ML0602,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:603,603,Gourma-Rharous,ML0603,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:604,604,Niafunké,ML0604,Niafunke,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:605,605,Tombouctou,ML0605,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:701,701,Ansongo,ML0701,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:702,702,Bourem,ML0702,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
