qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:466:2:101,101,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:102,102,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:103,103,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:104,104,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:105,105,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:106,106,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,Nioro,ML0106,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:107,107,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:107,Yélimané,ML0107,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:201,201,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:201,Banamba,ML0201,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:202,202,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:202,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:203,203,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:203,Kangaba,ML0203,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
