#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:466:2:101,101,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:101,Bafoulabe,ML0101,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:102,102,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:102,Diéma,ML0102,Diema,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:103,103,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:103,Kayes,ML0103,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:104,104,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:104,Kéniéba,ML0104,Kenieba,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:105,105,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:105,Kita,ML0105,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:106,106,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:106,Nioro,ML0106,,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:107,107,1603:45:16:466:0,1603:45:16:466:1:1,1603:45:16:466:2:107,Yélimané,ML0107,Yelimane,,,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:201,201,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:201,Banamba,ML0201,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:202,202,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:202,Dioila,ML0202,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:203,203,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:203,Kangaba,ML0203,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:204,204,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:204,Kati,ML0204,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:205,205,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:205,Kolokani,ML0205,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:206,206,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:206,Koulikoro,ML0206,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:207,207,1603:45:16:466:0,1603:45:16:466:1:2,1603:45:16:466:2:207,Nara,ML0207,,,,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:301,301,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:301,Bougouni,ML0301,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:302,302,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:302,Kadiolo,ML0302,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:303,303,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:303,Kolondieba,ML0303,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:304,304,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:304,Koutiala,ML0304,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:305,305,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:305,Sikasso,ML0305,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:306,306,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:306,Yanfolila,ML0306,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:307,307,1603:45:16:466:0,1603:45:16:466:1:3,1603:45:16:466:2:307,Yorosso,ML0307,,,,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:401,401,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:401,Baraouéli,ML0401,Baraoueli,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:402,402,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:402,Bla,ML0402,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:403,403,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:403,Macina,ML0403,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:404,404,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:404,Niono,ML0404,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:405,405,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:405,San,ML0405,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:406,406,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:406,Ségou,ML0406,Segou,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:407,407,1603:45:16:466:0,1603:45:16:466:1:4,1603:45:16:466:2:407,Tominian,ML0407,,,,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:501,501,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:501,Bandiagara,ML0501,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:502,502,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:502,Bankass,ML0502,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:503,503,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:503,Djenné,ML0503,Djenne,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:504,504,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:504,Douentza,ML0504,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:505,505,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:505,Koro,ML0505,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:506,506,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:506,Mopti,ML0506,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:507,507,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:507,Ténenkou,ML0507,Tenenkou,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:508,508,1603:45:16:466:0,1603:45:16:466:1:5,1603:45:16:466:2:508,Youwarou,ML0508,,,,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:601,601,1603:45:16:466:0,1603:45:16:466:1:6,1603:45:16:466:2:601,Diré,ML0601,Dire,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
