qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:242:3:10201,10201,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:102,1603:45:16:242:3:10201,Bua,FJ10201,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10202,10202,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:102,1603:45:16:242:3:10202,Vuya,FJ10202,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10203,10203,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:102,1603:45:16:242:3:10203,Wainunu,FJ10203,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10301,10301,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10301,Cakaudrove,FJ10301,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10302,10302,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10302,Nasavusavu,FJ10302,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10303,10303,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10303,Rabi,FJ10303,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10304,10304,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10304,Saqani,FJ10304,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10305,10305,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10305,Tunuloa,FJ10305,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10306,10306,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10306,Vaturova,FJ10306,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10307,10307,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10307,Wailevu,FJ10307,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10308,10308,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,1603:45:16:242:3:10308,Wainikeli,FJ10308,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10701,10701,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,1603:45:16:242:3:10701,Cikobia,FJ10701,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10702,10702,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,1603:45:16:242:3:10702,Dogotoki,FJ10702,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10703,10703,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,1603:45:16:242:3:10703,Labasa,FJ10703,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10704,10704,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,1603:45:16:242:3:10704,Macuata,FJ10704,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:3:10705,10705,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,1603:45:16:242:3:10705,Sasa,FJ10705,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
