#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm4+code+v_numerodinatio,#adm4+name+i_spa+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_spa+is_latn,#adm4+name+alt2+i_spa+is_latn,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:214:4:1010101,1010101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,1603:45:16:214:4:1010101,San Francisco de Macorís,DO01010101,San Francisco de Macoris,,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010102,1010102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,1603:45:16:214:4:1010102,La Peña (D.M.),DO01010102,La Pena (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010103,1010103,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,1603:45:16:214:4:1010103,Cenoví (D.M.),DO01010103,Cenovi (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010104,1010104,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,1603:45:16:214:4:1010104,Jaya (D.M.),DO01010104,,,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010105,1010105,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10101,1603:45:16:214:4:1010105,Presidente Don Antonio Guzmán Fernández (D.M.),DO01010105,Presidente Don Antonio Guzman Fernandez (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010201,1010201,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10102,1603:45:16:214:4:1010201,Arenoso,DO01010201,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010202,1010202,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10102,1603:45:16:214:4:1010202,Las Coles (D.M.),DO01010202,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010203,1010203,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10102,1603:45:16:214:4:1010203,El Aguacate (D.M.),DO01010203,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010301,1010301,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10103,1603:45:16:214:4:1010301,Castillo,DO01010301,,,,Municipio Castillo,DO010103,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010401,1010401,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10104,1603:45:16:214:4:1010401,Pimentel,DO01010401,,,,Municipio Pimentel,DO010104,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
