#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:232:2:101,101,1603:45:16:232:0,1603:45:16:232:1:1,1603:45:16:232:2:101,Araeta,ER101,,,,Debubawi Keih Bahri,ER1,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:102,102,1603:45:16:232:0,1603:45:16:232:1:1,1603:45:16:232:2:102,Maekel Deb.Keih Bahri,ER102,,,,Debubawi Keih Bahri,ER1,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:103,103,1603:45:16:232:0,1603:45:16:232:1:1,1603:45:16:232:2:103,Debub Deb.Keih Bahri,ER103,,,,Debubawi Keih Bahri,ER1,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:104,104,1603:45:16:232:0,1603:45:16:232:1:1,1603:45:16:232:2:104,Asseb,ER104,,,,Debubawi Keih Bahri,ER1,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:201,201,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:201,Serejeka,ER201,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:202,202,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:202,Berik,ER202,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:203,203,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:203,Galanefhi,ER203,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:204,204,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:204,Semienawi Mibrak,ER204,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:205,205,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:205,Debubawi Mibrak,ER205,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:206,206,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:206,Debubawi Mierab,ER206,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:207,207,1603:45:16:232:0,1603:45:16:232:1:2,1603:45:16:232:2:207,Semienawi Mierab,ER207,,,,Maekel,ER2,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:301,301,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:301,Ghelaelo,ER301,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:302,302,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:302,Foro,ER302,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:303,303,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:303,Dahlak,ER303,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:304,304,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:304,Massawa,ER304,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:305,305,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:305,Ghinda,ER305,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:306,306,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:306,Shieb,ER306,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:307,307,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:307,Afabet,ER307,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:308,308,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:308,Nakfa,ER308,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:309,309,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:309,Karura,ER309,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:310,310,1603:45:16:232:0,1603:45:16:232:1:3,1603:45:16:232:2:310,Adobha,ER310,,,,Semienawi Keih Bahri,ER3,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:401,401,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:401,Adi Tekeliezan,ER401,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:402,402,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:402,Elabered,ER402,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:403,403,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:403,Gheleb,ER403,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:404,404,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:404,Keren,ER404,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:405,405,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:405,Hagaz,ER405,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:406,406,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:406,Halhal,ER406,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:407,407,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:407,Habero,ER407,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:408,408,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:408,Asmat,ER408,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:409,409,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:409,Kerkebet,ER409,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:410,410,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:410,Sela,ER410,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:411,411,1603:45:16:232:0,1603:45:16:232:1:4,1603:45:16:232:2:411,Hamelmalo,ER411,,,,Anseba,ER4,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:501,501,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:501,Logo Anseba,ER501,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:502,502,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:502,Mensura,ER502,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:503,503,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:503,Akurdet,ER503,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:504,504,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:504,Dige,ER504,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:505,505,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:505,Mogolo,ER505,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:506,506,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:506,Shambuko,ER506,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:507,507,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:507,Barentu,ER507,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:508,508,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:508,Gogne,ER508,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:509,509,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:509,Forto,ER509,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:510,510,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:510,Haykota,ER510,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:511,511,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:511,Lalay Gash,ER511,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:512,512,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:512,Omhajer,ER512,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:513,513,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:513,Tesseney,ER513,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:514,514,1603:45:16:232:0,1603:45:16:232:1:5,1603:45:16:232:2:514,Molqi,ER514,,,,Gash Barka,ER5,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:601,601,1603:45:16:232:0,1603:45:16:232:1:6,1603:45:16:232:2:601,Dbarwa,ER601,,,,Debub,ER6,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:602,602,1603:45:16:232:0,1603:45:16:232:1:6,1603:45:16:232:2:602,Areza,ER602,,,,Debub,ER6,Eritrea,ER,2020-04-29,2020-04-29,
1603:45:16:232:2:603,603,1603:45:16:232:0,1603:45:16:232:1:6,1603:45:16:232:2:603,Mendefera,ER603,,,,Debub,ER6,Eritrea,ER,2020-04-29,2020-04-29,
