#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:626:2:101,101,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,Ainaro,TL0101,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:102,102,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:102,Hatu-Builico,TL0102,,Hato-Builico,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:103,103,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,Maubisse,TL0103,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:104,104,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:104,Hatu-Udo,TL0104,,Hato-Udo,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:201,201,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,Aileu Vila,TL0201,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:202,202,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,Liquidoe,TL0202,,Lequidoe,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:203,203,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,Remexio,TL0203,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:204,204,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,Laulara,TL0204,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:301,301,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,Baucau,TL0301,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:302,302,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,Laga,TL0302,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:303,303,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,Quelicai,TL0303,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:304,304,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,Baguia,TL0304,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:305,305,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,Vemasse,TL0305,,Vemase,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:306,306,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,Venilale,TL0306,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:401,401,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,Maliana,TL0401,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:402,402,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,Cailaco,TL0402,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:403,403,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,Balibo,TL0403,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:404,404,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:404,Atabae,TL0404,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:405,405,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,Lolotoe,TL0405,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:2:406,406,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,Bobonaro,TL0406,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
