#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:108:1:1,1,1603:45:16:108:0,1603:45:16:108:1:1,Bubanza,BI001,Bubanza,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:2,2,1603:45:16:108:0,1603:45:16:108:1:2,Bujumbura Rural,BI002,Bujumbura Rural,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:3,3,1603:45:16:108:0,1603:45:16:108:1:3,Bururi,BI003,Bururi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:4,4,1603:45:16:108:0,1603:45:16:108:1:4,Cankuzo,BI004,Cankuzo,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:5,5,1603:45:16:108:0,1603:45:16:108:1:5,Cibitoke,BI005,Cibitoke,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:6,6,1603:45:16:108:0,1603:45:16:108:1:6,Gitega,BI006,Gitega,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:7,7,1603:45:16:108:0,1603:45:16:108:1:7,Karuzi,BI007,Karuzi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:8,8,1603:45:16:108:0,1603:45:16:108:1:8,Kayanza,BI008,Kayanza,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:9,9,1603:45:16:108:0,1603:45:16:108:1:9,Kirundo,BI009,Kirundo,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:10,10,1603:45:16:108:0,1603:45:16:108:1:10,Makamba,BI010,Makamba,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:11,11,1603:45:16:108:0,1603:45:16:108:1:11,Muramvya,BI011,Muramvya,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:12,12,1603:45:16:108:0,1603:45:16:108:1:12,Muyinga,BI012,Muyinga,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:13,13,1603:45:16:108:0,1603:45:16:108:1:13,Mwaro,BI013,Mwaro,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:14,14,1603:45:16:108:0,1603:45:16:108:1:14,Ngozi,BI014,Ngozi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:15,15,1603:45:16:108:0,1603:45:16:108:1:15,Rutana,BI015,Rutana,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:16,16,1603:45:16:108:0,1603:45:16:108:1:16,Ruyigi,BI016,Ruyigi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:17,17,1603:45:16:108:0,1603:45:16:108:1:17,Bujumbura Mairie,BI017,Bujumbura Mairie,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:18,18,1603:45:16:108:0,1603:45:16:108:1:18,Rumonge,BI018,Rumonge,,,Burundi,BI,2017-11-07,2021-10-07,
