qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:108:1:1,1,1603:45:16:108:0,1603:45:16:108:1:1,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:2,2,1603:45:16:108:0,1603:45:16:108:1:2,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:3,3,1603:45:16:108:0,1603:45:16:108:1:3,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:4,4,1603:45:16:108:0,1603:45:16:108:1:4,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:5,5,1603:45:16:108:0,1603:45:16:108:1:5,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:6,6,1603:45:16:108:0,1603:45:16:108:1:6,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:7,7,1603:45:16:108:0,1603:45:16:108:1:7,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:8,8,1603:45:16:108:0,1603:45:16:108:1:8,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:9,9,1603:45:16:108:0,1603:45:16:108:1:9,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:10,10,1603:45:16:108:0,1603:45:16:108:1:10,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:11,11,1603:45:16:108:0,1603:45:16:108:1:11,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:12,12,1603:45:16:108:0,1603:45:16:108:1:12,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:13,13,1603:45:16:108:0,1603:45:16:108:1:13,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:14,14,1603:45:16:108:0,1603:45:16:108:1:14,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:15,15,1603:45:16:108:0,1603:45:16:108:1:15,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:16,16,1603:45:16:108:0,1603:45:16:108:1:16,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:17,17,1603:45:16:108:0,1603:45:16:108:1:17,Bujumbura Mairie,BI017,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:18,18,1603:45:16:108:0,1603:45:16:108:1:18,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
