#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:408:1:1,1,1603:45:16:408:0,1603:45:16:408:1:1,Ryanggang,KP01,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:2,2,1603:45:16:408:0,1603:45:16:408:1:2,North Hamgyong,KP02,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:3,3,1603:45:16:408:0,1603:45:16:408:1:3,South Hamgyong,KP03,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:4,4,1603:45:16:408:0,1603:45:16:408:1:4,Kangwon,KP04,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:5,5,1603:45:16:408:0,1603:45:16:408:1:5,Jagang,KP05,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:6,6,1603:45:16:408:0,1603:45:16:408:1:6,North Pyongan,KP06,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:7,7,1603:45:16:408:0,1603:45:16:408:1:7,South Pyongan,KP07,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:8,8,1603:45:16:408:0,1603:45:16:408:1:8,North Hwanghae,KP08,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:9,9,1603:45:16:408:0,1603:45:16:408:1:9,South Hwanghae,KP09,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:10,10,1603:45:16:408:0,1603:45:16:408:1:10,Pyongyang,KP10,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:11,11,1603:45:16:408:0,1603:45:16:408:1:11,Nampo,KP11,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
