qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:408:1:1,1,1603:45:16:408:0,1603:45:16:408:1:1,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:2,2,1603:45:16:408:0,1603:45:16:408:1:2,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:3,3,1603:45:16:408:0,1603:45:16:408:1:3,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:4,4,1603:45:16:408:0,1603:45:16:408:1:4,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:5,5,1603:45:16:408:0,1603:45:16:408:1:5,Jagang,KP05,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:6,6,1603:45:16:408:0,1603:45:16:408:1:6,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:7,7,1603:45:16:408:0,1603:45:16:408:1:7,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:8,8,1603:45:16:408:0,1603:45:16:408:1:8,North Hwanghae,KP08,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:9,9,1603:45:16:408:0,1603:45:16:408:1:9,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:10,10,1603:45:16:408:0,1603:45:16:408:1:10,Pyongyang,KP10,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:11,11,1603:45:16:408:0,1603:45:16:408:1:11,Nampo,KP11,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
