#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:408:1:1,1,Ryanggang,KP01,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:2,2,North Hamgyong,KP02,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:3,3,South Hamgyong,KP03,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:4,4,Kangwon,KP04,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:5,5,Jagang,KP05,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:6,6,North Pyongan,KP06,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:7,7,South Pyongan,KP07,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:8,8,North Hwanghae,KP08,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:9,9,South Hwanghae,KP09,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:10,10,Pyongyang,KP10,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
1603:45:16:408:1:11,11,Nampo,KP11,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
