#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:140:3:1111,1111,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:111,1603:45:16:140:3:1111,Bimbo,CF1111,Bimbo,,,Bimbo,CF111,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1121,1121,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:112,1603:45:16:140:3:1121,Damara,CF1121,Damara,,,Damara,CF112,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1131,1131,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:113,1603:45:16:140:3:1131,Bogangolo,CF1131,Bogangolo,,,Bogangolo,CF113,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1141,1141,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:114,1603:45:16:140:3:1141,Boali,CF1141,Boali,,,Boali,CF114,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1151,1151,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:115,1603:45:16:140:3:1151,Bossembélé,CF1151,Bossembele,,,Bossembélé,CF115,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1152,1152,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:115,1603:45:16:140:3:1152,La Mbi,CF1152,La Mbi,,,Bossembélé,CF115,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1161,1161,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:116,1603:45:16:140:3:1161,Yaloké,CF1161,Yaloke,,,Yaloké,CF116,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1162,1162,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:116,1603:45:16:140:3:1162,Guézéli,CF1162,Gueli,,,Yaloké,CF116,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1211,1211,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1211,Mbaiki,CF1211,Mbaiki,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1212,1212,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1212,Mbata,CF1212,Mbata,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1213,1213,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1213,Pissa,CF1213,Pissa,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
